id scale ngroups work_mem enable_incrementalsort max_workers incremental partial table run duration
1 1000000 10 4MB on 0 1 0 s_1 1 533.433
1 1000000 10 4MB on 0 1 0 s_1 2 533.900
1 1000000 10 4MB on 0 1 0 s_1 3 533.969
1 1000000 10 4MB on 0 1 0 s_1 4 534.738
1 1000000 10 4MB on 0 1 0 s_1 5 533.091
2 1000000 10 4MB on 0 1 0 s_2 1 437.036
2 1000000 10 4MB on 0 1 0 s_2 2 437.077
2 1000000 10 4MB on 0 1 0 s_2 3 437.081
2 1000000 10 4MB on 0 1 0 s_2 4 437.159
2 1000000 10 4MB on 0 1 0 s_2 5 436.760
3 1000000 10 4MB on 0 1 0 s_3 1 478.633
3 1000000 10 4MB on 0 1 0 s_3 2 478.519
3 1000000 10 4MB on 0 1 0 s_3 3 478.274
3 1000000 10 4MB on 0 1 0 s_3 4 478.332
3 1000000 10 4MB on 0 1 0 s_3 5 478.531
4 1000000 10 4MB on 0 1 0 s_4 1 518.729
4 1000000 10 4MB on 0 1 0 s_4 2 518.907
4 1000000 10 4MB on 0 1 0 s_4 3 519.214
4 1000000 10 4MB on 0 1 0 s_4 4 518.645
4 1000000 10 4MB on 0 1 0 s_4 5 518.792
5 1000000 10 4MB off 0 0 0 s_1 1 523.889
5 1000000 10 4MB off 0 0 0 s_1 2 523.609
5 1000000 10 4MB off 0 0 0 s_1 3 523.727
5 1000000 10 4MB off 0 0 0 s_1 4 523.550
5 1000000 10 4MB off 0 0 0 s_1 5 522.953
6 1000000 10 4MB off 0 0 0 s_2 1 589.805
6 1000000 10 4MB off 0 0 0 s_2 2 589.925
6 1000000 10 4MB off 0 0 0 s_2 3 589.952
6 1000000 10 4MB off 0 0 0 s_2 4 588.674
6 1000000 10 4MB off 0 0 0 s_2 5 589.406
7 1000000 10 4MB off 0 0 0 s_3 1 692.566
7 1000000 10 4MB off 0 0 0 s_3 2 691.888
7 1000000 10 4MB off 0 0 0 s_3 3 690.981
7 1000000 10 4MB off 0 0 0 s_3 4 692.076
7 1000000 10 4MB off 0 0 0 s_3 5 692.337
8 1000000 10 4MB off 0 0 0 s_4 1 843.391
8 1000000 10 4MB off 0 0 0 s_4 2 843.535
8 1000000 10 4MB off 0 0 0 s_4 3 844.387
8 1000000 10 4MB off 0 0 0 s_4 4 843.397
8 1000000 10 4MB off 0 0 0 s_4 5 843.682
9 1000000 10 8MB on 0 1 0 s_1 1 513.524
9 1000000 10 8MB on 0 1 0 s_1 2 513.404
9 1000000 10 8MB on 0 1 0 s_1 3 513.463
9 1000000 10 8MB on 0 1 0 s_1 4 513.388
9 1000000 10 8MB on 0 1 0 s_1 5 513.273
10 1000000 10 8MB on 0 1 0 s_2 1 405.182
10 1000000 10 8MB on 0 1 0 s_2 2 405.080
10 1000000 10 8MB on 0 1 0 s_2 3 404.952
10 1000000 10 8MB on 0 1 0 s_2 4 405.047
10 1000000 10 8MB on 0 1 0 s_2 5 405.404
11 1000000 10 8MB on 0 1 0 s_3 1 446.061
11 1000000 10 8MB on 0 1 0 s_3 2 446.289
11 1000000 10 8MB on 0 1 0 s_3 3 445.850
11 1000000 10 8MB on 0 1 0 s_3 4 446.310
11 1000000 10 8MB on 0 1 0 s_3 5 446.114
12 1000000 10 8MB on 0 1 0 s_4 1 486.947
12 1000000 10 8MB on 0 1 0 s_4 2 486.647
12 1000000 10 8MB on 0 1 0 s_4 3 487.152
12 1000000 10 8MB on 0 1 0 s_4 4 486.890
12 1000000 10 8MB on 0 1 0 s_4 5 486.977
13 1000000 10 8MB off 0 0 0 s_1 1 490.903
13 1000000 10 8MB off 0 0 0 s_1 2 489.776
13 1000000 10 8MB off 0 0 0 s_1 3 490.260
13 1000000 10 8MB off 0 0 0 s_1 4 489.848
13 1000000 10 8MB off 0 0 0 s_1 5 490.335
14 1000000 10 8MB off 0 0 0 s_2 1 553.829
14 1000000 10 8MB off 0 0 0 s_2 2 552.756
14 1000000 10 8MB off 0 0 0 s_2 3 553.868
14 1000000 10 8MB off 0 0 0 s_2 4 553.486
14 1000000 10 8MB off 0 0 0 s_2 5 553.973
15 1000000 10 8MB off 0 0 0 s_3 1 650.844
15 1000000 10 8MB off 0 0 0 s_3 2 650.255
15 1000000 10 8MB off 0 0 0 s_3 3 650.584
15 1000000 10 8MB off 0 0 0 s_3 4 650.922
15 1000000 10 8MB off 0 0 0 s_3 5 652.857
16 1000000 10 8MB off 0 0 0 s_4 1 800.794
16 1000000 10 8MB off 0 0 0 s_4 2 799.632
16 1000000 10 8MB off 0 0 0 s_4 3 799.831
16 1000000 10 8MB off 0 0 0 s_4 4 799.456
16 1000000 10 8MB off 0 0 0 s_4 5 799.874
17 1000000 10 16MB on 0 1 0 s_1 1 419.119
17 1000000 10 16MB on 0 1 0 s_1 2 419.213
17 1000000 10 16MB on 0 1 0 s_1 3 418.646
17 1000000 10 16MB on 0 1 0 s_1 4 418.873
17 1000000 10 16MB on 0 1 0 s_1 5 417.622
18 1000000 10 16MB on 0 1 0 s_2 1 412.597
18 1000000 10 16MB on 0 1 0 s_2 2 406.679
18 1000000 10 16MB on 0 1 0 s_2 3 408.262
18 1000000 10 16MB on 0 1 0 s_2 4 407.274
