id scale ngroups work_mem enable_incrementalsort max_workers incremental partial ios table run duration
1 1000000 10 4MB on 0 1 0 1 s_1 1 20.293
1 1000000 10 4MB on 0 1 0 1 s_1 2 20.226
1 1000000 10 4MB on 0 1 0 1 s_1 3 20.213
1 1000000 10 4MB on 0 1 0 1 s_1 4 20.225
1 1000000 10 4MB on 0 1 0 1 s_1 5 20.205
2 1000000 10 4MB on 0 1 0 1 s_2 1 5.510
2 1000000 10 4MB on 0 1 0 1 s_2 2 5.387
2 1000000 10 4MB on 0 1 0 1 s_2 3 5.449
2 1000000 10 4MB on 0 1 0 1 s_2 4 5.493
2 1000000 10 4MB on 0 1 0 1 s_2 5 5.421
3 1000000 10 4MB on 0 1 0 1 s_3 1 4.920
3 1000000 10 4MB on 0 1 0 1 s_3 2 4.875
3 1000000 10 4MB on 0 1 0 1 s_3 3 4.860
3 1000000 10 4MB on 0 1 0 1 s_3 4 4.938
3 1000000 10 4MB on 0 1 0 1 s_3 5 4.945
4 1000000 10 4MB off 0 0 0 0 s_1 1 90.634
4 1000000 10 4MB off 0 0 0 0 s_1 2 90.656
4 1000000 10 4MB off 0 0 0 0 s_1 3 90.702
4 1000000 10 4MB off 0 0 0 0 s_1 4 90.656
4 1000000 10 4MB off 0 0 0 0 s_1 5 90.547
5 1000000 10 4MB off 0 0 0 0 s_2 1 91.428
5 1000000 10 4MB off 0 0 0 0 s_2 2 91.345
5 1000000 10 4MB off 0 0 0 0 s_2 3 91.441
5 1000000 10 4MB off 0 0 0 0 s_2 4 91.429
5 1000000 10 4MB off 0 0 0 0 s_2 5 91.376
6 1000000 10 4MB off 0 0 0 0 s_3 1 92.128
6 1000000 10 4MB off 0 0 0 0 s_3 2 92.296
6 1000000 10 4MB off 0 0 0 0 s_3 3 92.256
6 1000000 10 4MB off 0 0 0 0 s_3 4 92.375
6 1000000 10 4MB off 0 0 0 0 s_3 5 92.181
7 1000000 10 8MB on 0 1 0 1 s_1 1 17.003
7 1000000 10 8MB on 0 1 0 1 s_1 2 16.935
7 1000000 10 8MB on 0 1 0 1 s_1 3 16.900
7 1000000 10 8MB on 0 1 0 1 s_1 4 16.891
7 1000000 10 8MB on 0 1 0 1 s_1 5 16.928
8 1000000 10 8MB on 0 1 0 1 s_2 1 5.462
8 1000000 10 8MB on 0 1 0 1 s_2 2 5.481
8 1000000 10 8MB on 0 1 0 1 s_2 3 5.504
8 1000000 10 8MB on 0 1 0 1 s_2 4 5.433
8 1000000 10 8MB on 0 1 0 1 s_2 5 5.583
9 1000000 10 8MB on 0 1 0 1 s_3 1 4.947
9 1000000 10 8MB on 0 1 0 1 s_3 2 4.839
9 1000000 10 8MB on 0 1 0 1 s_3 3 4.809
9 1000000 10 8MB on 0 1 0 1 s_3 4 4.816
9 1000000 10 8MB on 0 1 0 1 s_3 5 4.806
10 1000000 10 8MB off 0 0 0 0 s_1 1 90.642
10 1000000 10 8MB off 0 0 0 0 s_1 2 90.669
10 1000000 10 8MB off 0 0 0 0 s_1 3 90.743
10 1000000 10 8MB off 0 0 0 0 s_1 4 90.710
10 1000000 10 8MB off 0 0 0 0 s_1 5 90.657
11 1000000 10 8MB off 0 0 0 0 s_2 1 91.299
11 1000000 10 8MB off 0 0 0 0 s_2 2 91.275
11 1000000 10 8MB off 0 0 0 0 s_2 3 91.486
11 1000000 10 8MB off 0 0 0 0 s_2 4 91.515
11 1000000 10 8MB off 0 0 0 0 s_2 5 91.256
12 1000000 10 8MB off 0 0 0 0 s_3 1 92.256
12 1000000 10 8MB off 0 0 0 0 s_3 2 92.216
12 1000000 10 8MB off 0 0 0 0 s_3 3 92.188
12 1000000 10 8MB off 0 0 0 0 s_3 4 92.207
12 1000000 10 8MB off 0 0 0 0 s_3 5 92.230
13 1000000 10 16MB on 0 1 0 1 s_1 1 16.938
13 1000000 10 16MB on 0 1 0 1 s_1 2 16.925
13 1000000 10 16MB on 0 1 0 1 s_1 3 16.935
13 1000000 10 16MB on 0 1 0 1 s_1 4 16.891
13 1000000 10 16MB on 0 1 0 1 s_1 5 16.943
14 1000000 10 16MB on 0 1 0 1 s_2 1 5.516
14 1000000 10 16MB on 0 1 0 1 s_2 2 5.453
14 1000000 10 16MB on 0 1 0 1 s_2 3 5.478
14 1000000 10 16MB on 0 1 0 1 s_2 4 5.516
14 1000000 10 16MB on 0 1 0 1 s_2 5 5.446
15 1000000 10 16MB on 0 1 0 1 s_3 1 4.902
15 1000000 10 16MB on 0 1 0 1 s_3 2 4.834
15 1000000 10 16MB on 0 1 0 1 s_3 3 4.920
15 1000000 10 16MB on 0 1 0 1 s_3 4 4.895
15 1000000 10 16MB on 0 1 0 1 s_3 5 4.913
16 1000000 10 16MB off 0 0 0 0 s_1 1 90.681
16 1000000 10 16MB off 0 0 0 0 s_1 2 90.646
16 1000000 10 16MB off 0 0 0 0 s_1 3 90.641
16 1000000 10 16MB off 0 0 0 0 s_1 4 90.701
16 1000000 10 16MB off 0 0 0 0 s_1 5 90.674
17 1000000 10 16MB off 0 0 0 0 s_2 1 91.326
17 1000000 10 16MB off 0 0 0 0 s_2 2 91.356
17 1000000 10 16MB off 0 0 0 0 s_2 3 91.419
17 1000000 10 16MB off 0 0 0 0 s_2 4 91.446
17 1000000 10 16MB off 0 0 0 0 s_2 5 91.434
18 1000000 10 16MB off 0 0 0 0 s_3 1 92.306
18 1000000 10 16MB off 0 0 0 0 s_3 2 92.191
18 1000000 10 16MB off 0 0 0 0 s_3 3 92.411
18 1000000 10 16MB off 0 0 0 0 s_3 4 92.278
18 1000000 10 16MB off 0 0 0 0 s_3 5 92.320
19 1000000 10 32MB on 0 1 0 1 s_1 1 16.910
19 1000000 10 32MB on 0 1 0 1 s_1 2 16.926
19 1000000 10 32MB on 0 1 0 1 s_1 3 16.930
19 1000000 10 32MB on 0 1 0 1 s_1 4 16.900
19 1000000 10 32MB on 0 1 0 1 s_1 5 16.938
20 1000000 10 32MB on 0 1 0 1 s_2 1 5.478
20 1000000 10 32MB on 0 1 0 1 s_2 2 5.467
20 1000000 10 32MB on 0 1 0 1 s_2 3 5.416
20 1000000 10 32MB on 0 1 0 1 s_2 4 5.468
20 1000000 10 32MB on 0 1 0 1 s_2 5 5.508
21 1000000 10 32MB on 0 1 0 1 s_3 1 4.838
21 1000000 10 32MB on 0 1 0 1 s_3 2 4.928
21 1000000 10 32MB on 0 1 0 1 s_3 3 4.923
21 1000000 10 32MB on 0 1 0 1 s_3 4 4.860
21 1000000 10 32MB on 0 1 0 1 s_3 5 4.857
22 1000000 10 32MB off 0 0 0 0 s_1 1 90.608
22 1000000 10 32MB off 0 0 0 0 s_1 2 90.633
22 1000000 10 32MB off 0 0 0 0 s_1 3 90.606
22 1000000 10 32MB off 0 0 0 0 s_1 4 90.633
22 1000000 10 32MB off 0 0 0 0 s_1 5 90.701
23 1000000 10 32MB off 0 0 0 0 s_2 1 91.406
23 1000000 10 32MB off 0 0 0 0 s_2 2 91.376
23 1000000 10 32MB off 0 0 0 0 s_2 3 91.353
23 1000000 10 32MB off 0 0 0 0 s_2 4 91.436
23 1000000 10 32MB off 0 0 0 0 s_2 5 91.398
24 1000000 10 32MB off 0 0 0 0 s_3 1 92.457
24 1000000 10 32MB off 0 0 0 0 s_3 2 92.155
24 1000000 10 32MB off 0 0 0 0 s_3 3 92.320
24 1000000 10 32MB off 0 0 0 0 s_3 4 92.182
24 1000000 10 32MB off 0 0 0 0 s_3 5 92.412
25 1000000 10 64MB on 0 1 0 1 s_1 1 16.857
25 1000000 10 64MB on 0 1 0 1 s_1 2 16.913
25 1000000 10 64MB on 0 1 0 1 s_1 3 16.922
25 1000000 10 64MB on 0 1 0 1 s_1 4 16.912
25 1000000 10 64MB on 0 1 0 1 s_1 5 16.890
26 1000000 10 64MB on 0 1 0 1 s_2 1 5.503
26 1000000 10 64MB on 0 1 0 1 s_2 2 5.552
26 1000000 10 64MB on 0 1 0 1 s_2 3 5.447
26 1000000 10 64MB on 0 1 0 1 s_2 4 5.446
26 1000000 10 64MB on 0 1 0 1 s_2 5 5.509
27 1000000 10 64MB on 0 1 0 1 s_3 1 4.910
27 1000000 10 64MB on 0 1 0 1 s_3 2 4.899
27 1000000 10 64MB on 0 1 0 1 s_3 3 4.878
27 1000000 10 64MB on 0 1 0 1 s_3 4 4.923
27 1000000 10 64MB on 0 1 0 1 s_3 5 4.896
28 1000000 10 64MB off 0 0 0 0 s_1 1 90.698
28 1000000 10 64MB off 0 0 0 0 s_1 2 90.720
28 1000000 10 64MB off 0 0 0 0 s_1 3 90.668
28 1000000 10 64MB off 0 0 0 0 s_1 4 90.676
28 1000000 10 64MB off 0 0 0 0 s_1 5 90.576
29 1000000 10 64MB off 0 0 0 0 s_2 1 91.403
29 1000000 10 64MB off 0 0 0 0 s_2 2 91.344
29 1000000 10 64MB off 0 0 0 0 s_2 3 91.369
29 1000000 10 64MB off 0 0 0 0 s_2 4 91.407
29 1000000 10 64MB off 0 0 0 0 s_2 5 91.379
30 1000000 10 64MB off 0 0 0 0 s_3 1 92.363
30 1000000 10 64MB off 0 0 0 0 s_3 2 92.254
30 1000000 10 64MB off 0 0 0 0 s_3 3 92.372
30 1000000 10 64MB off 0 0 0 0 s_3 4 92.294
30 1000000 10 64MB off 0 0 0 0 s_3 5 92.149
31 1000000 10 128MB on 0 1 0 1 s_1 1 16.933
31 1000000 10 128MB on 0 1 0 1 s_1 2 16.965
31 1000000 10 128MB on 0 1 0 1 s_1 3 16.897
31 1000000 10 128MB on 0 1 0 1 s_1 4 16.919
31 1000000 10 128MB on 0 1 0 1 s_1 5 16.904
32 1000000 10 128MB on 0 1 0 1 s_2 1 5.533
32 1000000 10 128MB on 0 1 0 1 s_2 2 5.437
32 1000000 10 128MB on 0 1 0 1 s_2 3 5.485
32 1000000 10 128MB on 0 1 0 1 s_2 4 5.486
