id scale ngroups work_mem enable_incrementalsort max_workers incremental partial ios table run duration
1 10000000 10 4MB on 0 1 0 1 s_1 1 159.574
1 10000000 10 4MB on 0 1 0 1 s_1 2 159.567
1 10000000 10 4MB on 0 1 0 1 s_1 3 159.453
1 10000000 10 4MB on 0 1 0 1 s_1 4 159.724
1 10000000 10 4MB on 0 1 0 1 s_1 5 159.658
2 10000000 10 4MB on 0 1 0 1 s_2 1 53.088
2 10000000 10 4MB on 0 1 0 1 s_2 2 52.983
2 10000000 10 4MB on 0 1 0 1 s_2 3 53.031
2 10000000 10 4MB on 0 1 0 1 s_2 4 52.991
2 10000000 10 4MB on 0 1 0 1 s_2 5 53.029
3 10000000 10 4MB on 0 1 0 1 s_3 1 36.670
3 10000000 10 4MB on 0 1 0 1 s_3 2 36.627
3 10000000 10 4MB on 0 1 0 1 s_3 3 36.614
3 10000000 10 4MB on 0 1 0 1 s_3 4 36.555
3 10000000 10 4MB on 0 1 0 1 s_3 5 36.523
4 10000000 10 4MB off 0 0 0 0 s_1 1 3896.593
4 10000000 10 4MB off 0 0 0 0 s_1 2 3894.895
4 10000000 10 4MB off 0 0 0 0 s_1 3 3902.354
4 10000000 10 4MB off 0 0 0 0 s_1 4 3887.961
4 10000000 10 4MB off 0 0 0 0 s_1 5 3884.653
5 10000000 10 4MB off 0 0 0 0 s_2 1 4201.898
5 10000000 10 4MB off 0 0 0 0 s_2 2 4199.736
5 10000000 10 4MB off 0 0 0 0 s_2 3 4193.945
5 10000000 10 4MB off 0 0 0 0 s_2 4 4191.597
5 10000000 10 4MB off 0 0 0 0 s_2 5 4187.049
6 10000000 10 4MB off 0 0 0 0 s_3 1 4810.269
6 10000000 10 4MB off 0 0 0 0 s_3 2 4812.643
6 10000000 10 4MB off 0 0 0 0 s_3 3 4812.207
6 10000000 10 4MB off 0 0 0 0 s_3 4 4821.943
6 10000000 10 4MB off 0 0 0 0 s_3 5 4820.564
7 10000000 10 8MB on 0 1 0 1 s_1 1 170.111
7 10000000 10 8MB on 0 1 0 1 s_1 2 169.672
7 10000000 10 8MB on 0 1 0 1 s_1 3 169.862
7 10000000 10 8MB on 0 1 0 1 s_1 4 169.842
7 10000000 10 8MB on 0 1 0 1 s_1 5 169.947
8 10000000 10 8MB on 0 1 0 1 s_2 1 42.327
8 10000000 10 8MB on 0 1 0 1 s_2 2 42.134
8 10000000 10 8MB on 0 1 0 1 s_2 3 42.121
8 10000000 10 8MB on 0 1 0 1 s_2 4 42.184
8 10000000 10 8MB on 0 1 0 1 s_2 5 42.061
9 10000000 10 8MB on 0 1 0 1 s_3 1 36.635
9 10000000 10 8MB on 0 1 0 1 s_3 2 36.576
9 10000000 10 8MB on 0 1 0 1 s_3 3 36.608
9 10000000 10 8MB on 0 1 0 1 s_3 4 36.547
9 10000000 10 8MB on 0 1 0 1 s_3 5 36.544
10 10000000 10 8MB off 0 0 0 0 s_1 1 3447.435
10 10000000 10 8MB off 0 0 0 0 s_1 2 3446.044
10 10000000 10 8MB off 0 0 0 0 s_1 3 3449.614
10 10000000 10 8MB off 0 0 0 0 s_1 4 3447.002
10 10000000 10 8MB off 0 0 0 0 s_1 5 3447.072
11 10000000 10 8MB off 0 0 0 0 s_2 1 3686.418
11 10000000 10 8MB off 0 0 0 0 s_2 2 3705.418
11 10000000 10 8MB off 0 0 0 0 s_2 3 3691.359
11 10000000 10 8MB off 0 0 0 0 s_2 4 3687.910
11 10000000 10 8MB off 0 0 0 0 s_2 5 3693.084
12 10000000 10 8MB off 0 0 0 0 s_3 1 4345.647
12 10000000 10 8MB off 0 0 0 0 s_3 2 4346.557
12 10000000 10 8MB off 0 0 0 0 s_3 3 4346.819
12 10000000 10 8MB off 0 0 0 0 s_3 4 4347.989
12 10000000 10 8MB off 0 0 0 0 s_3 5 4350.470
13 10000000 10 16MB on 0 1 0 1 s_1 1 181.117
13 10000000 10 16MB on 0 1 0 1 s_1 2 181.092
13 10000000 10 16MB on 0 1 0 1 s_1 3 181.146
13 10000000 10 16MB on 0 1 0 1 s_1 4 181.117
13 10000000 10 16MB on 0 1 0 1 s_1 5 180.681
14 10000000 10 16MB on 0 1 0 1 s_2 1 42.142
14 10000000 10 16MB on 0 1 0 1 s_2 2 42.178
14 10000000 10 16MB on 0 1 0 1 s_2 3 42.238
14 10000000 10 16MB on 0 1 0 1 s_2 4 42.154
14 10000000 10 16MB on 0 1 0 1 s_2 5 42.189
15 10000000 10 16MB on 0 1 0 1 s_3 1 36.630
