id scale ngroups work_mem enable_incrementalsort max_workers incremental partial table run duration
1 10000000 10 4MB on 0 1 0 s_1 1 3134.651
1 10000000 10 4MB on 0 1 0 s_1 2 3133.307
1 10000000 10 4MB on 0 1 0 s_1 3 3136.319
1 10000000 10 4MB on 0 1 0 s_1 4 3134.948
1 10000000 10 4MB on 0 1 0 s_1 5 3132.429
2 10000000 10 4MB on 0 1 0 s_2 1 3310.696
2 10000000 10 4MB on 0 1 0 s_2 2 3308.718
2 10000000 10 4MB on 0 1 0 s_2 3 3303.876
2 10000000 10 4MB on 0 1 0 s_2 4 3309.609
2 10000000 10 4MB on 0 1 0 s_2 5 3304.667
3 10000000 10 4MB on 0 1 0 s_3 1 3433.683
3 10000000 10 4MB on 0 1 0 s_3 2 3429.616
3 10000000 10 4MB on 0 1 0 s_3 3 3437.071
3 10000000 10 4MB on 0 1 0 s_3 4 3426.510
3 10000000 10 4MB on 0 1 0 s_3 5 3425.043
4 10000000 10 4MB on 0 1 0 s_4 1 3502.722
4 10000000 10 4MB on 0 1 0 s_4 2 3502.692
4 10000000 10 4MB on 0 1 0 s_4 3 3506.110
4 10000000 10 4MB on 0 1 0 s_4 4 3503.512
4 10000000 10 4MB on 0 1 0 s_4 5 3502.417
5 10000000 10 4MB off 0 0 0 s_1 1 7155.810
5 10000000 10 4MB off 0 0 0 s_1 2 7115.007
5 10000000 10 4MB off 0 0 0 s_1 3 7135.416
5 10000000 10 4MB off 0 0 0 s_1 4 7150.047
5 10000000 10 4MB off 0 0 0 s_1 5 7113.268
6 10000000 10 4MB off 0 0 0 s_2 1 7757.621
6 10000000 10 4MB off 0 0 0 s_2 2 7761.837
6 10000000 10 4MB off 0 0 0 s_2 3 7757.340
6 10000000 10 4MB off 0 0 0 s_2 4 7770.460
6 10000000 10 4MB off 0 0 0 s_2 5 7768.022
7 10000000 10 4MB off 0 0 0 s_3 1 8531.430
7 10000000 10 4MB off 0 0 0 s_3 2 8511.910
7 10000000 10 4MB off 0 0 0 s_3 3 8518.538
7 10000000 10 4MB off 0 0 0 s_3 4 8543.249
7 10000000 10 4MB off 0 0 0 s_3 5 8537.441
8 10000000 10 4MB off 0 0 0 s_4 1 9785.411
8 10000000 10 4MB off 0 0 0 s_4 2 9769.489
8 10000000 10 4MB off 0 0 0 s_4 3 9784.674
8 10000000 10 4MB off 0 0 0 s_4 4 9773.677
8 10000000 10 4MB off 0 0 0 s_4 5 9768.333
9 10000000 10 8MB on 0 1 0 s_1 1 2424.300
9 10000000 10 8MB on 0 1 0 s_1 2 2420.647
9 10000000 10 8MB on 0 1 0 s_1 3 2421.220
9 10000000 10 8MB on 0 1 0 s_1 4 2420.932
9 10000000 10 8MB on 0 1 0 s_1 5 2423.743
10 10000000 10 8MB on 0 1 0 s_2 1 2527.905
10 10000000 10 8MB on 0 1 0 s_2 2 2530.155
10 10000000 10 8MB on 0 1 0 s_2 3 2527.063
10 10000000 10 8MB on 0 1 0 s_2 4 2525.081
10 10000000 10 8MB on 0 1 0 s_2 5 2527.052
11 10000000 10 8MB on 0 1 0 s_3 1 2626.574
11 10000000 10 8MB on 0 1 0 s_3 2 2629.290
11 10000000 10 8MB on 0 1 0 s_3 3 2627.780
11 10000000 10 8MB on 0 1 0 s_3 4 2628.982
11 10000000 10 8MB on 0 1 0 s_3 5 2629.636
12 10000000 10 8MB on 0 1 0 s_4 1 2706.129
12 10000000 10 8MB on 0 1 0 s_4 2 2700.943
12 10000000 10 8MB on 0 1 0 s_4 3 2704.404
12 10000000 10 8MB on 0 1 0 s_4 4 2699.625
12 10000000 10 8MB on 0 1 0 s_4 5 2701.339
13 10000000 10 8MB off 0 0 0 s_1 1 5918.027
13 10000000 10 8MB off 0 0 0 s_1 2 5904.834
13 10000000 10 8MB off 0 0 0 s_1 3 5908.687
13 10000000 10 8MB off 0 0 0 s_1 4 5904.377
13 10000000 10 8MB off 0 0 0 s_1 5 5918.307
14 10000000 10 8MB off 0 0 0 s_2 1 6458.714
14 10000000 10 8MB off 0 0 0 s_2 2 6483.002
14 10000000 10 8MB off 0 0 0 s_2 3 6458.508
14 10000000 10 8MB off 0 0 0 s_2 4 6459.681
14 10000000 10 8MB off 0 0 0 s_2 5 6479.043
15 10000000 10 8MB off 0 0 0 s_3 1 7232.930
15 10000000 10 8MB off 0 0 0 s_3 2 7231.166
15 10000000 10 8MB off 0 0 0 s_3 3 7237.337
15 10000000 10 8MB off 0 0 0 s_3 4 7231.723
15 10000000 10 8MB off 0 0 0 s_3 5 7235.063
16 10000000 10 8MB off 0 0 0 s_4 1 8456.498
16 10000000 10 8MB off 0 0 0 s_4 2 8455.909
16 10000000 10 8MB off 0 0 0 s_4 3 8457.059
16 10000000 10 8MB off 0 0 0 s_4 4 8461.332
16 10000000 10 8MB off 0 0 0 s_4 5 8461.460
17 10000000 10 16MB on 0 1 0 s_1 1 1663.796
17 10000000 10 16MB on 0 1 0 s_1 2 1665.350
17 10000000 10 16MB on 0 1 0 s_1 3 1662.921
17 10000000 10 16MB on 0 1 0 s_1 4 1666.173
17 10000000 10 16MB on 0 1 0 s_1 5 1666.677
18 10000000 10 16MB on 0 1 0 s_2 1 1647.745
18 10000000 10 16MB on 0 1 0 s_2 2 1647.017
18 10000000 10 16MB on 0 1 0 s_2 3 1645.828
18 10000000 10 16MB on 0 1 0 s_2 4 1646.096
18 10000000 10 16MB on 0 1 0 s_2 5 1647.360
19 10000000 10 16MB on 0 1 0 s_3 1 1726.442
19 10000000 10 16MB on 0 1 0 s_3 2 1725.355
19 10000000 10 16MB on 0 1 0 s_3 3 1725.480
19 10000000 10 16MB on 0 1 0 s_3 4 1726.002
19 10000000 10 16MB on 0 1 0 s_3 5 1727.253
20 10000000 10 16MB on 0 1 0 s_4 1 1793.847
20 10000000 10 16MB on 0 1 0 s_4 2 1792.172
20 10000000 10 16MB on 0 1 0 s_4 3 1791.109
20 10000000 10 16MB on 0 1 0 s_4 4 1791.574
20 10000000 10 16MB on 0 1 0 s_4 5 1792.276
21 10000000 10 16MB off 0 0 0 s_1 1 4588.723
21 10000000 10 16MB off 0 0 0 s_1 2 4589.666
21 10000000 10 16MB off 0 0 0 s_1 3 4589.210
21 10000000 10 16MB off 0 0 0 s_1 4 4589.315
21 10000000 10 16MB off 0 0 0 s_1 5 4587.422
22 10000000 10 16MB off 0 0 0 s_2 1 5034.805
22 10000000 10 16MB off 0 0 0 s_2 2 5023.947
22 10000000 10 16MB off 0 0 0 s_2 3 5028.100
22 10000000 10 16MB off 0 0 0 s_2 4 5018.187
22 10000000 10 16MB off 0 0 0 s_2 5 5027.418
23 10000000 10 16MB off 0 0 0 s_3 1 5750.170
23 10000000 10 16MB off 0 0 0 s_3 2 5750.703
23 10000000 10 16MB off 0 0 0 s_3 3 5751.082
23 10000000 10 16MB off 0 0 0 s_3 4 5753.490
23 10000000 10 16MB off 0 0 0 s_3 5 5752.651
24 10000000 10 16MB off 0 0 0 s_4 1 6966.576
24 10000000 10 16MB off 0 0 0 s_4 2 6970.465
24 10000000 10 16MB off 0 0 0 s_4 3 6970.880
24 10000000 10 16MB off 0 0 0 s_4 4 6972.685
24 10000000 10 16MB off 0 0 0 s_4 5 6966.628
25 10000000 10 32MB on 0 1 0 s_1 1 1642.673
25 10000000 10 32MB on 0 1 0 s_1 2 1643.917
25 10000000 10 32MB on 0 1 0 s_1 3 1645.608
25 10000000 10 32MB on 0 1 0 s_1 4 1645.328
25 10000000 10 32MB on 0 1 0 s_1 5 1643.758
26 10000000 10 32MB on 0 1 0 s_2 1 1608.518
26 10000000 10 32MB on 0 1 0 s_2 2 1609.109
26 10000000 10 32MB on 0 1 0 s_2 3 1608.377
26 10000000 10 32MB on 0 1 0 s_2 4 1607.154
26 10000000 10 32MB on 0 1 0 s_2 5 1605.670
27 10000000 10 32MB on 0 1 0 s_3 1 1681.843
27 10000000 10 32MB on 0 1 0 s_3 2 1680.797
27 10000000 10 32MB on 0 1 0 s_3 3 1681.777
27 10000000 10 32MB on 0 1 0 s_3 4 1682.753
27 10000000 10 32MB on 0 1 0 s_3 5 1677.740
28 10000000 10 32MB on 0 1 0 s_4 1 1749.718
28 10000000 10 32MB on 0 1 0 s_4 2 1748.035
28 10000000 10 32MB on 0 1 0 s_4 3 1749.844
28 10000000 10 32MB on 0 1 0 s_4 4 1749.746
28 10000000 10 32MB on 0 1 0 s_4 5 1748.788
29 10000000 10 32MB off 0 0 0 s_1 1 2716.153
29 10000000 10 32MB off 0 0 0 s_1 2 2716.149
29 10000000 10 32MB off 0 0 0 s_1 3 2716.658
29 10000000 10 32MB off 0 0 0 s_1 4 2717.397
29 10000000 10 32MB off 0 0 0 s_1 5 2715.120
30 10000000 10 32MB off 0 0 0 s_2 1 2902.331
30 10000000 10 32MB off 0 0 0 s_2 2 2906.304
30 10000000 10 32MB off 0 0 0 s_2 3 2904.214
30 10000000 10 32MB off 0 0 0 s_2 4 2907.743
30 10000000 10 32MB off 0 0 0 s_2 5 2907.271
31 10000000 10 32MB off 0 0 0 s_3 1 2989.595
31 10000000 10 32MB off 0 0 0 s_3 2 2988.509
31 10000000 10 32MB off 0 0 0 s_3 3 2990.512
31 10000000 10 32MB off 0 0 0 s_3 4 2987.412
31 10000000 10 32MB off 0 0 0 s_3 5 2987.354
32 10000000 10 32MB off 0 0 0 s_4 1 3059.951
32 10000000 10 32MB off 0 0 0 s_4 2 3059.571
32 10000000 10 32MB off 0 0 0 s_4 3 3063.161
32 10000000 10 32MB off 0 0 0 s_4 4 3062.502
32 10000000 10 32MB off 0 0 0 s_4 5 3061.902
33 10000000 10 64MB on 0 1 0 s_1 1 1628.290
33 10000000 10 64MB on 0 1 0 s_1 2 1630.926
33 10000000 10 64MB on 0 1 0 s_1 3 1629.110
33 10000000 10 64MB on 0 1 0 s_1 4 1630.065
33 10000000 10 64MB on 0 1 0 s_1 5 1633.140
34 10000000 10 64MB on 0 1 0 s_2 1 1644.759
34 10000000 10 64MB on 0 1 0 s_2 2 1643.219
34 10000000 10 64MB on 0 1 0 s_2 3 1639.953
34 10000000 10 64MB on 0 1 0 s_2 4 1640.201
34 10000000 10 64MB on 0 1 0 s_2 5 1645.180
35 10000000 10 64MB on 0 1 0 s_3 1 1722.012
35 10000000 10 64MB on 0 1 0 s_3 2 1720.384
35 10000000 10 64MB on 0 1 0 s_3 3 1721.558
35 10000000 10 64MB on 0 1 0 s_3 4 1722.422
35 10000000 10 64MB on 0 1 0 s_3 5 1719.005
36 10000000 10 64MB on 0 1 0 s_4 1 1787.541
36 10000000 10 64MB on 0 1 0 s_4 2 1793.221
36 10000000 10 64MB on 0 1 0 s_4 3 1787.232
36 10000000 10 64MB on 0 1 0 s_4 4 1786.148
36 10000000 10 64MB on 0 1 0 s_4 5 1789.801
37 10000000 10 64MB off 0 0 0 s_1 1 2764.566
37 10000000 10 64MB off 0 0 0 s_1 2 2763.326
37 10000000 10 64MB off 0 0 0 s_1 3 2761.517
37 10000000 10 64MB off 0 0 0 s_1 4 2766.145
37 10000000 10 64MB off 0 0 0 s_1 5 2758.993
38 10000000 10 64MB off 0 0 0 s_2 1 2919.182
38 10000000 10 64MB off 0 0 0 s_2 2 2921.153
38 10000000 10 64MB off 0 0 0 s_2 3 2924.758
38 10000000 10 64MB off 0 0 0 s_2 4 2921.325
38 10000000 10 64MB off 0 0 0 s_2 5 2920.447
39 10000000 10 64MB off 0 0 0 s_3 1 3002.580
39 10000000 10 64MB off 0 0 0 s_3 2 3000.698
39 10000000 10 64MB off 0 0 0 s_3 3 2999.380
39 10000000 10 64MB off 0 0 0 s_3 4 2999.345
39 10000000 10 64MB off 0 0 0 s_3 5 3000.925
40 10000000 10 64MB off 0 0 0 s_4 1 3069.814
40 10000000 10 64MB off 0 0 0 s_4 2 3076.694
40 10000000 10 64MB off 0 0 0 s_4 3 3072.735
40 10000000 10 64MB off 0 0 0 s_4 4 3070.659
40 10000000 10 64MB off 0 0 0 s_4 5 3076.109
41 10000000 10 128MB on 0 1 0 s_1 1 1697.199
41 10000000 10 128MB on 0 1 0 s_1 2 1696.912
41 10000000 10 128MB on 0 1 0 s_1 3 1693.907
41 10000000 10 128MB on 0 1 0 s_1 4 1701.421
41 10000000 10 128MB on 0 1 0 s_1 5 1696.830
42 10000000 10 128MB on 0 1 0 s_2 1 1705.377
42 10000000 10 128MB on 0 1 0 s_2 2 1704.149
42 10000000 10 128MB on 0 1 0 s_2 3 1703.225
42 10000000 10 128MB on 0 1 0 s_2 4 1701.778
42 10000000 10 128MB on 0 1 0 s_2 5 1703.408
43 10000000 10 128MB on 0 1 0 s_3 1 1787.540
43 10000000 10 128MB on 0 1 0 s_3 2 1784.902
43 10000000 10 128MB on 0 1 0 s_3 3 1784.572
43 10000000 10 128MB on 0 1 0 s_3 4 1784.527
43 10000000 10 128MB on 0 1 0 s_3 5 1786.628
44 10000000 10 128MB on 0 1 0 s_4 1 1854.378
