id scale ngroups work_mem enable_incrementalsort max_workers incremental partial ios table run duration
1 10000 10 4MB on 0 0 0 0 s_1 1 3.551
1 10000 10 4MB on 0 0 0 0 s_1 2 3.463
1 10000 10 4MB on 0 0 0 0 s_1 3 3.521
1 10000 10 4MB on 0 0 0 0 s_1 4 3.487
1 10000 10 4MB on 0 0 0 0 s_1 5 3.599
2 10000 10 4MB on 0 1 0 1 s_2 1 4.468
2 10000 10 4MB on 0 1 0 1 s_2 2 4.437
2 10000 10 4MB on 0 1 0 1 s_2 3 4.405
2 10000 10 4MB on 0 1 0 1 s_2 4 4.396
2 10000 10 4MB on 0 1 0 1 s_2 5 4.443
3 10000 10 4MB on 0 1 0 1 s_3 1 4.794
3 10000 10 4MB on 0 1 0 1 s_3 2 4.891
3 10000 10 4MB on 0 1 0 1 s_3 3 4.801
3 10000 10 4MB on 0 1 0 1 s_3 4 4.815
3 10000 10 4MB on 0 1 0 1 s_3 5 4.873
4 10000 10 4MB off 0 0 0 0 s_1 1 3.525
4 10000 10 4MB off 0 0 0 0 s_1 2 3.514
4 10000 10 4MB off 0 0 0 0 s_1 3 3.448
4 10000 10 4MB off 0 0 0 0 s_1 4 3.470
4 10000 10 4MB off 0 0 0 0 s_1 5 3.473
5 10000 10 4MB off 0 0 0 0 s_2 1 4.415
5 10000 10 4MB off 0 0 0 0 s_2 2 4.425
5 10000 10 4MB off 0 0 0 0 s_2 3 4.412
5 10000 10 4MB off 0 0 0 0 s_2 4 4.373
5 10000 10 4MB off 0 0 0 0 s_2 5 4.369
6 10000 10 4MB off 0 0 0 0 s_3 1 5.232
6 10000 10 4MB off 0 0 0 0 s_3 2 5.238
6 10000 10 4MB off 0 0 0 0 s_3 3 5.291
6 10000 10 4MB off 0 0 0 0 s_3 4 5.262
6 10000 10 4MB off 0 0 0 0 s_3 5 5.289
7 10000 10 8MB on 0 0 0 0 s_1 1 3.500
7 10000 10 8MB on 0 0 0 0 s_1 2 3.538
7 10000 10 8MB on 0 0 0 0 s_1 3 3.497
7 10000 10 8MB on 0 0 0 0 s_1 4 3.530
7 10000 10 8MB on 0 0 0 0 s_1 5 3.583
8 10000 10 8MB on 0 1 0 1 s_2 1 4.482
8 10000 10 8MB on 0 1 0 1 s_2 2 4.438
8 10000 10 8MB on 0 1 0 1 s_2 3 4.452
8 10000 10 8MB on 0 1 0 1 s_2 4 4.467
8 10000 10 8MB on 0 1 0 1 s_2 5 4.413
9 10000 10 8MB on 0 1 0 1 s_3 1 4.903
9 10000 10 8MB on 0 1 0 1 s_3 2 4.799
9 10000 10 8MB on 0 1 0 1 s_3 3 4.856
9 10000 10 8MB on 0 1 0 1 s_3 4 4.899
9 10000 10 8MB on 0 1 0 1 s_3 5 4.890
10 10000 10 8MB off 0 0 0 0 s_1 1 3.471
10 10000 10 8MB off 0 0 0 0 s_1 2 3.536
10 10000 10 8MB off 0 0 0 0 s_1 3 3.446
10 10000 10 8MB off 0 0 0 0 s_1 4 3.466
10 10000 10 8MB off 0 0 0 0 s_1 5 3.505
11 10000 10 8MB off 0 0 0 0 s_2 1 4.468
11 10000 10 8MB off 0 0 0 0 s_2 2 4.465
