id scale ngroups work_mem enable_incrementalsort max_workers incremental partial table run duration
1 10000 10 4MB on 0 1 0 s_1 1 4.248
1 10000 10 4MB on 0 1 0 s_1 2 4.160
1 10000 10 4MB on 0 1 0 s_1 3 4.113
1 10000 10 4MB on 0 1 0 s_1 4 4.100
1 10000 10 4MB on 0 1 0 s_1 5 4.132
2 10000 10 4MB on 0 1 0 s_2 1 4.646
2 10000 10 4MB on 0 1 0 s_2 2 4.575
2 10000 10 4MB on 0 1 0 s_2 3 4.662
2 10000 10 4MB on 0 1 0 s_2 4 4.577
2 10000 10 4MB on 0 1 0 s_2 5 4.580
3 10000 10 4MB on 0 1 0 s_3 1 5.027
3 10000 10 4MB on 0 1 0 s_3 2 5.055
3 10000 10 4MB on 0 1 0 s_3 3 5.002
3 10000 10 4MB on 0 1 0 s_3 4 4.996
3 10000 10 4MB on 0 1 0 s_3 5 5.052
4 10000 10 4MB on 0 1 0 s_4 1 5.073
4 10000 10 4MB on 0 1 0 s_4 2 5.027
4 10000 10 4MB on 0 1 0 s_4 3 5.067
4 10000 10 4MB on 0 1 0 s_4 4 5.080
4 10000 10 4MB on 0 1 0 s_4 5 5.047
5 10000 10 4MB off 0 0 0 s_1 1 4.506
5 10000 10 4MB off 0 0 0 s_1 2 4.504
5 10000 10 4MB off 0 0 0 s_1 3 4.609
5 10000 10 4MB off 0 0 0 s_1 4 4.529
5 10000 10 4MB off 0 0 0 s_1 5 4.543
6 10000 10 4MB off 0 0 0 s_2 1 5.624
6 10000 10 4MB off 0 0 0 s_2 2 5.520
6 10000 10 4MB off 0 0 0 s_2 3 5.539
6 10000 10 4MB off 0 0 0 s_2 4 5.653
6 10000 10 4MB off 0 0 0 s_2 5 5.547
7 10000 10 4MB off 0 0 0 s_3 1 6.530
7 10000 10 4MB off 0 0 0 s_3 2 6.520
7 10000 10 4MB off 0 0 0 s_3 3 6.478
7 10000 10 4MB off 0 0 0 s_3 4 6.527
7 10000 10 4MB off 0 0 0 s_3 5 6.535
8 10000 10 4MB off 0 0 0 s_4 1 6.648
8 10000 10 4MB off 0 0 0 s_4 2 6.562
8 10000 10 4MB off 0 0 0 s_4 3 6.643
8 10000 10 4MB off 0 0 0 s_4 4 6.591
8 10000 10 4MB off 0 0 0 s_4 5 6.669
9 10000 10 8MB on 0 1 0 s_1 1 4.168
9 10000 10 8MB on 0 1 0 s_1 2 4.116
9 10000 10 8MB on 0 1 0 s_1 3 4.118
9 10000 10 8MB on 0 1 0 s_1 4 4.147
9 10000 10 8MB on 0 1 0 s_1 5 4.143
10 10000 10 8MB on 0 1 0 s_2 1 4.678
10 10000 10 8MB on 0 1 0 s_2 2 4.589
10 10000 10 8MB on 0 1 0 s_2 3 4.673
10 10000 10 8MB on 0 1 0 s_2 4 4.596
10 10000 10 8MB on 0 1 0 s_2 5 4.630
11 10000 10 8MB on 0 1 0 s_3 1 5.053
11 10000 10 8MB on 0 1 0 s_3 2 5.020
11 10000 10 8MB on 0 1 0 s_3 3 4.984
11 10000 10 8MB on 0 1 0 s_3 4 5.044
11 10000 10 8MB on 0 1 0 s_3 5 5.057
12 10000 10 8MB on 0 1 0 s_4 1 5.057
12 10000 10 8MB on 0 1 0 s_4 2 5.057
12 10000 10 8MB on 0 1 0 s_4 3 5.066
