id scale ngroups work_mem enable_incrementalsort max_workers incremental partial table run duration
1 10000 10 4MB on 0 1 0 s_1 1 2.703
1 10000 10 4MB on 0 1 0 s_1 2 2.596
1 10000 10 4MB on 0 1 0 s_1 3 2.707
1 10000 10 4MB on 0 1 0 s_1 4 2.624
1 10000 10 4MB on 0 1 0 s_1 5 2.688
2 10000 10 4MB on 0 1 0 s_2 1 2.736
2 10000 10 4MB on 0 1 0 s_2 2 2.701
2 10000 10 4MB on 0 1 0 s_2 3 2.788
2 10000 10 4MB on 0 1 0 s_2 4 2.731
2 10000 10 4MB on 0 1 0 s_2 5 2.718
3 10000 10 4MB on 0 1 0 s_3 1 2.853
3 10000 10 4MB on 0 1 0 s_3 2 2.818
3 10000 10 4MB on 0 1 0 s_3 3 2.800
3 10000 10 4MB on 0 1 0 s_3 4 2.813
3 10000 10 4MB on 0 1 0 s_3 5 2.841
4 10000 10 4MB on 0 1 0 s_4 1 2.907
4 10000 10 4MB on 0 1 0 s_4 2 2.970
4 10000 10 4MB on 0 1 0 s_4 3 2.938
4 10000 10 4MB on 0 1 0 s_4 4 2.916
4 10000 10 4MB on 0 1 0 s_4 5 2.898
5 10000 10 4MB off 0 0 0 s_1 1 3.212
5 10000 10 4MB off 0 0 0 s_1 2 3.210
5 10000 10 4MB off 0 0 0 s_1 3 3.164
5 10000 10 4MB off 0 0 0 s_1 4 3.240
5 10000 10 4MB off 0 0 0 s_1 5 3.200
6 10000 10 4MB off 0 0 0 s_2 1 3.332
6 10000 10 4MB off 0 0 0 s_2 2 3.348
6 10000 10 4MB off 0 0 0 s_2 3 3.293
6 10000 10 4MB off 0 0 0 s_2 4 3.293
6 10000 10 4MB off 0 0 0 s_2 5 3.364
7 10000 10 4MB off 0 0 0 s_3 1 3.457
7 10000 10 4MB off 0 0 0 s_3 2 3.423
7 10000 10 4MB off 0 0 0 s_3 3 3.379
7 10000 10 4MB off 0 0 0 s_3 4 3.403
7 10000 10 4MB off 0 0 0 s_3 5 3.488
8 10000 10 4MB off 0 0 0 s_4 1 3.493
8 10000 10 4MB off 0 0 0 s_4 2 3.589
8 10000 10 4MB off 0 0 0 s_4 3 3.521
8 10000 10 4MB off 0 0 0 s_4 4 3.539
8 10000 10 4MB off 0 0 0 s_4 5 3.519
9 10000 10 8MB on 0 1 0 s_1 1 2.730
9 10000 10 8MB on 0 1 0 s_1 2 2.631
9 10000 10 8MB on 0 1 0 s_1 3 2.723
9 10000 10 8MB on 0 1 0 s_1 4 2.677
9 10000 10 8MB on 0 1 0 s_1 5 2.637
