id scale ngroups work_mem enable_incrementalsort max_workers incremental partial ios table run duration
1 10000 10 4MB on 0 1 0 1 s_1 1 1.578
1 10000 10 4MB on 0 1 0 1 s_1 2 1.468
1 10000 10 4MB on 0 1 0 1 s_1 3 1.397
1 10000 10 4MB on 0 1 0 1 s_1 4 1.430
1 10000 10 4MB on 0 1 0 1 s_1 5 1.524
2 10000 10 4MB on 0 1 0 1 s_2 1 1.419
2 10000 10 4MB on 0 1 0 1 s_2 2 1.365
2 10000 10 4MB on 0 1 0 1 s_2 3 1.318
2 10000 10 4MB on 0 1 0 1 s_2 4 1.320
2 10000 10 4MB on 0 1 0 1 s_2 5 1.306
3 10000 10 4MB on 0 1 0 1 s_3 1 1.311
3 10000 10 4MB on 0 1 0 1 s_3 2 1.385
3 10000 10 4MB on 0 1 0 1 s_3 3 1.321
3 10000 10 4MB on 0 1 0 1 s_3 4 1.311
3 10000 10 4MB on 0 1 0 1 s_3 5 1.382
4 10000 10 4MB off 0 0 0 0 s_1 1 2.119
4 10000 10 4MB off 0 0 0 0 s_1 2 2.114
4 10000 10 4MB off 0 0 0 0 s_1 3 2.111
4 10000 10 4MB off 0 0 0 0 s_1 4 2.154
4 10000 10 4MB off 0 0 0 0 s_1 5 2.152
5 10000 10 4MB off 0 0 0 0 s_2 1 2.172
5 10000 10 4MB off 0 0 0 0 s_2 2 2.112
5 10000 10 4MB off 0 0 0 0 s_2 3 2.148
5 10000 10 4MB off 0 0 0 0 s_2 4 2.191
5 10000 10 4MB off 0 0 0 0 s_2 5 2.171
6 10000 10 4MB off 0 0 0 0 s_3 1 2.176
6 10000 10 4MB off 0 0 0 0 s_3 2 2.191
6 10000 10 4MB off 0 0 0 0 s_3 3 2.129
6 10000 10 4MB off 0 0 0 0 s_3 4 2.148
6 10000 10 4MB off 0 0 0 0 s_3 5 2.179
7 10000 10 8MB on 0 1 0 1 s_1 1 1.446
7 10000 10 8MB on 0 1 0 1 s_1 2 1.453
7 10000 10 8MB on 0 1 0 1 s_1 3 1.492
7 10000 10 8MB on 0 1 0 1 s_1 4 1.433
7 10000 10 8MB on 0 1 0 1 s_1 5 1.411
8 10000 10 8MB on 0 1 0 1 s_2 1 1.385
8 10000 10 8MB on 0 1 0 1 s_2 2 1.314
8 10000 10 8MB on 0 1 0 1 s_2 3 1.357
8 10000 10 8MB on 0 1 0 1 s_2 4 1.353
8 10000 10 8MB on 0 1 0 1 s_2 5 1.334
9 10000 10 8MB on 0 1 0 1 s_3 1 1.409
9 10000 10 8MB on 0 1 0 1 s_3 2 1.402
9 10000 10 8MB on 0 1 0 1 s_3 3 1.276
9 10000 10 8MB on 0 1 0 1 s_3 4 1.328
9 10000 10 8MB on 0 1 0 1 s_3 5 1.339
10 10000 10 8MB off 0 0 0 0 s_1 1 2.135
10 10000 10 8MB off 0 0 0 0 s_1 2 2.081
10 10000 10 8MB off 0 0 0 0 s_1 3 2.056
10 10000 10 8MB off 0 0 0 0 s_1 4 2.093
10 10000 10 8MB off 0 0 0 0 s_1 5 2.134
11 10000 10 8MB off 0 0 0 0 s_2 1 2.156
11 10000 10 8MB off 0 0 0 0 s_2 2 2.209
11 10000 10 8MB off 0 0 0 0 s_2 3 2.127
11 10000 10 8MB off 0 0 0 0 s_2 4 2.130
11 10000 10 8MB off 0 0 0 0 s_2 5 2.128
12 10000 10 8MB off 0 0 0 0 s_3 1 2.152
12 10000 10 8MB off 0 0 0 0 s_3 2 2.134
12 10000 10 8MB off 0 0 0 0 s_3 3 2.161
12 10000 10 8MB off 0 0 0 0 s_3 4 2.166
12 10000 10 8MB off 0 0 0 0 s_3 5 2.096
13 10000 10 16MB on 0 1 0 1 s_1 1 1.503
13 10000 10 16MB on 0 1 0 1 s_1 2 1.433
13 10000 10 16MB on 0 1 0 1 s_1 3 1.465
13 10000 10 16MB on 0 1 0 1 s_1 4 1.496
13 10000 10 16MB on 0 1 0 1 s_1 5 1.504
14 10000 10 16MB on 0 1 0 1 s_2 1 1.389
14 10000 10 16MB on 0 1 0 1 s_2 2 1.348
14 10000 10 16MB on 0 1 0 1 s_2 3 1.372
14 10000 10 16MB on 0 1 0 1 s_2 4 1.323
14 10000 10 16MB on 0 1 0 1 s_2 5 1.319
15 10000 10 16MB on 0 1 0 1 s_3 1 1.332
15 10000 10 16MB on 0 1 0 1 s_3 2 1.314
15 10000 10 16MB on 0 1 0 1 s_3 3 1.339
15 10000 10 16MB on 0 1 0 1 s_3 4 1.333
15 10000 10 16MB on 0 1 0 1 s_3 5 1.332
16 10000 10 16MB off 0 0 0 0 s_1 1 2.162
16 10000 10 16MB off 0 0 0 0 s_1 2 2.169
16 10000 10 16MB off 0 0 0 0 s_1 3 2.141
16 10000 10 16MB off 0 0 0 0 s_1 4 2.107
16 10000 10 16MB off 0 0 0 0 s_1 5 2.147
17 10000 10 16MB off 0 0 0 0 s_2 1 2.149
17 10000 10 16MB off 0 0 0 0 s_2 2 2.140
17 10000 10 16MB off 0 0 0 0 s_2 3 2.128
17 10000 10 16MB off 0 0 0 0 s_2 4 2.154
17 10000 10 16MB off 0 0 0 0 s_2 5 2.127
18 10000 10 16MB off 0 0 0 0 s_3 1 2.125
18 10000 10 16MB off 0 0 0 0 s_3 2 2.138
18 10000 10 16MB off 0 0 0 0 s_3 3 2.158
18 10000 10 16MB off 0 0 0 0 s_3 4 2.106
18 10000 10 16MB off 0 0 0 0 s_3 5 2.186
19 10000 10 32MB on 0 1 0 1 s_1 1 1.453
19 10000 10 32MB on 0 1 0 1 s_1 2 1.436
19 10000 10 32MB on 0 1 0 1 s_1 3 1.424
19 10000 10 32MB on 0 1 0 1 s_1 4 1.491
19 10000 10 32MB on 0 1 0 1 s_1 5 1.494
