id scale ngroups work_mem enable_incrementalsort max_workers incremental partial ios table run duration
1 1000 10 4MB on 0 0 0 0 s_1 1 1.592
1 1000 10 4MB on 0 0 0 0 s_1 2 1.576
1 1000 10 4MB on 0 0 0 0 s_1 3 1.536
1 1000 10 4MB on 0 0 0 0 s_1 4 1.488
1 1000 10 4MB on 0 0 0 0 s_1 5 1.459
2 1000 10 4MB on 0 0 0 0 s_2 1 1.546
2 1000 10 4MB on 0 0 0 0 s_2 2 1.590
2 1000 10 4MB on 0 0 0 0 s_2 3 1.540
2 1000 10 4MB on 0 0 0 0 s_2 4 1.552
2 1000 10 4MB on 0 0 0 0 s_2 5 1.534
3 1000 10 4MB on 0 0 0 0 s_3 1 1.627
3 1000 10 4MB on 0 0 0 0 s_3 2 1.563
3 1000 10 4MB on 0 0 0 0 s_3 3 1.531
3 1000 10 4MB on 0 0 0 0 s_3 4 1.616
3 1000 10 4MB on 0 0 0 0 s_3 5 1.566
4 1000 10 4MB off 0 0 0 0 s_1 1 1.486
4 1000 10 4MB off 0 0 0 0 s_1 2 1.557
4 1000 10 4MB off 0 0 0 0 s_1 3 1.493
4 1000 10 4MB off 0 0 0 0 s_1 4 1.489
4 1000 10 4MB off 0 0 0 0 s_1 5 1.468
5 1000 10 4MB off 0 0 0 0 s_2 1 1.610
5 1000 10 4MB off 0 0 0 0 s_2 2 1.593
5 1000 10 4MB off 0 0 0 0 s_2 3 1.557
5 1000 10 4MB off 0 0 0 0 s_2 4 1.610
5 1000 10 4MB off 0 0 0 0 s_2 5 1.554
6 1000 10 4MB off 0 0 0 0 s_3 1 1.579
6 1000 10 4MB off 0 0 0 0 s_3 2 1.556
6 1000 10 4MB off 0 0 0 0 s_3 3 1.635
6 1000 10 4MB off 0 0 0 0 s_3 4 1.555
6 1000 10 4MB off 0 0 0 0 s_3 5 1.566
7 1000 10 8MB on 0 0 0 0 s_1 1 1.556
7 1000 10 8MB on 0 0 0 0 s_1 2 1.474
7 1000 10 8MB on 0 0 0 0 s_1 3 1.527
7 1000 10 8MB on 0 0 0 0 s_1 4 1.511
7 1000 10 8MB on 0 0 0 0 s_1 5 1.497
8 1000 10 8MB on 0 0 0 0 s_2 1 1.597
8 1000 10 8MB on 0 0 0 0 s_2 2 1.612
8 1000 10 8MB on 0 0 0 0 s_2 3 1.541
8 1000 10 8MB on 0 0 0 0 s_2 4 1.655
8 1000 10 8MB on 0 0 0 0 s_2 5 1.556
9 1000 10 8MB on 0 0 0 0 s_3 1 1.610
9 1000 10 8MB on 0 0 0 0 s_3 2 1.622
9 1000 10 8MB on 0 0 0 0 s_3 3 1.579
9 1000 10 8MB on 0 0 0 0 s_3 4 1.645
9 1000 10 8MB on 0 0 0 0 s_3 5 1.518
10 1000 10 8MB off 0 0 0 0 s_1 1 1.452
10 1000 10 8MB off 0 0 0 0 s_1 2 1.510
