id scale ngroups work_mem enable_incrementalsort max_workers incremental partial table run duration
1 1000 10 4MB on 0 1 0 s_1 1 1.374
1 1000 10 4MB on 0 1 0 s_1 2 1.296
1 1000 10 4MB on 0 1 0 s_1 3 1.331
1 1000 10 4MB on 0 1 0 s_1 4 1.360
1 1000 10 4MB on 0 1 0 s_1 5 1.373
2 1000 10 4MB on 0 1 0 s_2 1 1.400
2 1000 10 4MB on 0 1 0 s_2 2 1.348
2 1000 10 4MB on 0 1 0 s_2 3 1.344
2 1000 10 4MB on 0 1 0 s_2 4 1.339
2 1000 10 4MB on 0 1 0 s_2 5 1.296
3 1000 10 4MB on 0 1 0 s_3 1 1.329
3 1000 10 4MB on 0 1 0 s_3 2 1.345
3 1000 10 4MB on 0 1 0 s_3 3 1.308
3 1000 10 4MB on 0 1 0 s_3 4 1.306
3 1000 10 4MB on 0 1 0 s_3 5 1.303
4 1000 10 4MB on 0 1 0 s_4 1 1.350
4 1000 10 4MB on 0 1 0 s_4 2 1.385
4 1000 10 4MB on 0 1 0 s_4 3 1.312
4 1000 10 4MB on 0 1 0 s_4 4 1.293
4 1000 10 4MB on 0 1 0 s_4 5 1.275
5 1000 10 4MB off 0 0 0 s_1 1 1.360
5 1000 10 4MB off 0 0 0 s_1 2 1.324
5 1000 10 4MB off 0 0 0 s_1 3 1.278
5 1000 10 4MB off 0 0 0 s_1 4 1.308
5 1000 10 4MB off 0 0 0 s_1 5 1.321
6 1000 10 4MB off 0 0 0 s_2 1 1.291
6 1000 10 4MB off 0 0 0 s_2 2 1.361
6 1000 10 4MB off 0 0 0 s_2 3 1.356
6 1000 10 4MB off 0 0 0 s_2 4 1.297
6 1000 10 4MB off 0 0 0 s_2 5 1.383
7 1000 10 4MB off 0 0 0 s_3 1 1.373
7 1000 10 4MB off 0 0 0 s_3 2 1.384
7 1000 10 4MB off 0 0 0 s_3 3 1.359
7 1000 10 4MB off 0 0 0 s_3 4 1.329
7 1000 10 4MB off 0 0 0 s_3 5 1.354
8 1000 10 4MB off 0 0 0 s_4 1 1.388
8 1000 10 4MB off 0 0 0 s_4 2 1.310
8 1000 10 4MB off 0 0 0 s_4 3 1.326
8 1000 10 4MB off 0 0 0 s_4 4 1.341
8 1000 10 4MB off 0 0 0 s_4 5 1.348
9 1000 10 8MB on 0 1 0 s_1 1 1.328
9 1000 10 8MB on 0 1 0 s_1 2 1.278
9 1000 10 8MB on 0 1 0 s_1 3 1.269
9 1000 10 8MB on 0 1 0 s_1 4 1.306
9 1000 10 8MB on 0 1 0 s_1 5 1.279
10 1000 10 8MB on 0 1 0 s_2 1 1.243
10 1000 10 8MB on 0 1 0 s_2 2 1.246
10 1000 10 8MB on 0 1 0 s_2 3 1.329
10 1000 10 8MB on 0 1 0 s_2 4 1.292
10 1000 10 8MB on 0 1 0 s_2 5 1.312
11 1000 10 8MB on 0 1 0 s_3 1 1.283
11 1000 10 8MB on 0 1 0 s_3 2 1.283
11 1000 10 8MB on 0 1 0 s_3 3 1.285
11 1000 10 8MB on 0 1 0 s_3 4 1.307
11 1000 10 8MB on 0 1 0 s_3 5 1.340
12 1000 10 8MB on 0 1 0 s_4 1 1.352
12 1000 10 8MB on 0 1 0 s_4 2 1.373
12 1000 10 8MB on 0 1 0 s_4 3 1.329
12 1000 10 8MB on 0 1 0 s_4 4 1.476
12 1000 10 8MB on 0 1 0 s_4 5 1.300
13 1000 10 8MB off 0 0 0 s_1 1 1.360
13 1000 10 8MB off 0 0 0 s_1 2 1.352
13 1000 10 8MB off 0 0 0 s_1 3 1.300
13 1000 10 8MB off 0 0 0 s_1 4 1.332
13 1000 10 8MB off 0 0 0 s_1 5 1.293
14 1000 10 8MB off 0 0 0 s_2 1 1.404
14 1000 10 8MB off 0 0 0 s_2 2 1.400
14 1000 10 8MB off 0 0 0 s_2 3 1.310
14 1000 10 8MB off 0 0 0 s_2 4 1.334
14 1000 10 8MB off 0 0 0 s_2 5 1.312
15 1000 10 8MB off 0 0 0 s_3 1 1.393
15 1000 10 8MB off 0 0 0 s_3 2 1.389
15 1000 10 8MB off 0 0 0 s_3 3 1.345
15 1000 10 8MB off 0 0 0 s_3 4 1.325
15 1000 10 8MB off 0 0 0 s_3 5 1.346
16 1000 10 8MB off 0 0 0 s_4 1 1.353
16 1000 10 8MB off 0 0 0 s_4 2 1.324
16 1000 10 8MB off 0 0 0 s_4 3 1.332
16 1000 10 8MB off 0 0 0 s_4 4 1.342
16 1000 10 8MB off 0 0 0 s_4 5 1.321
17 1000 10 16MB on 0 1 0 s_1 1 1.296
17 1000 10 16MB on 0 1 0 s_1 2 1.324
17 1000 10 16MB on 0 1 0 s_1 3 1.342
17 1000 10 16MB on 0 1 0 s_1 4 1.315
17 1000 10 16MB on 0 1 0 s_1 5 1.343
18 1000 10 16MB on 0 1 0 s_2 1 1.293
18 1000 10 16MB on 0 1 0 s_2 2 1.335
18 1000 10 16MB on 0 1 0 s_2 3 1.328
18 1000 10 16MB on 0 1 0 s_2 4 1.353
18 1000 10 16MB on 0 1 0 s_2 5 1.322
19 1000 10 16MB on 0 1 0 s_3 1 1.349
19 1000 10 16MB on 0 1 0 s_3 2 1.327
19 1000 10 16MB on 0 1 0 s_3 3 1.271
19 1000 10 16MB on 0 1 0 s_3 4 1.245
19 1000 10 16MB on 0 1 0 s_3 5 1.355
20 1000 10 16MB on 0 1 0 s_4 1 1.358
20 1000 10 16MB on 0 1 0 s_4 2 1.285
20 1000 10 16MB on 0 1 0 s_4 3 1.284
20 1000 10 16MB on 0 1 0 s_4 4 1.354
20 1000 10 16MB on 0 1 0 s_4 5 1.328
21 1000 10 16MB off 0 0 0 s_1 1 1.384
21 1000 10 16MB off 0 0 0 s_1 2 1.303
21 1000 10 16MB off 0 0 0 s_1 3 1.330
21 1000 10 16MB off 0 0 0 s_1 4 1.335
21 1000 10 16MB off 0 0 0 s_1 5 1.293
22 1000 10 16MB off 0 0 0 s_2 1 1.367
22 1000 10 16MB off 0 0 0 s_2 2 1.353
22 1000 10 16MB off 0 0 0 s_2 3 1.356
22 1000 10 16MB off 0 0 0 s_2 4 1.345
22 1000 10 16MB off 0 0 0 s_2 5 1.335
23 1000 10 16MB off 0 0 0 s_3 1 1.376
23 1000 10 16MB off 0 0 0 s_3 2 1.375
23 1000 10 16MB off 0 0 0 s_3 3 1.401
23 1000 10 16MB off 0 0 0 s_3 4 1.368
23 1000 10 16MB off 0 0 0 s_3 5 1.329
24 1000 10 16MB off 0 0 0 s_4 1 1.335
24 1000 10 16MB off 0 0 0 s_4 2 1.337
24 1000 10 16MB off 0 0 0 s_4 3 1.349
24 1000 10 16MB off 0 0 0 s_4 4 1.363
24 1000 10 16MB off 0 0 0 s_4 5 1.337
25 1000 10 32MB on 0 1 0 s_1 1 1.338
25 1000 10 32MB on 0 1 0 s_1 2 1.346
25 1000 10 32MB on 0 1 0 s_1 3 1.341
25 1000 10 32MB on 0 1 0 s_1 4 1.337
25 1000 10 32MB on 0 1 0 s_1 5 1.337
26 1000 10 32MB on 0 1 0 s_2 1 1.285
26 1000 10 32MB on 0 1 0 s_2 2 1.363
26 1000 10 32MB on 0 1 0 s_2 3 1.334
26 1000 10 32MB on 0 1 0 s_2 4 1.345
26 1000 10 32MB on 0 1 0 s_2 5 1.340
27 1000 10 32MB on 0 1 0 s_3 1 1.345
27 1000 10 32MB on 0 1 0 s_3 2 1.284
27 1000 10 32MB on 0 1 0 s_3 3 1.278
27 1000 10 32MB on 0 1 0 s_3 4 1.313
27 1000 10 32MB on 0 1 0 s_3 5 1.291
28 1000 10 32MB on 0 1 0 s_4 1 1.316
28 1000 10 32MB on 0 1 0 s_4 2 1.321
28 1000 10 32MB on 0 1 0 s_4 3 1.290
28 1000 10 32MB on 0 1 0 s_4 4 1.318
28 1000 10 32MB on 0 1 0 s_4 5 1.301
29 1000 10 32MB off 0 0 0 s_1 1 1.319
29 1000 10 32MB off 0 0 0 s_1 2 1.281
29 1000 10 32MB off 0 0 0 s_1 3 1.314
29 1000 10 32MB off 0 0 0 s_1 4 1.264
29 1000 10 32MB off 0 0 0 s_1 5 1.260
30 1000 10 32MB off 0 0 0 s_2 1 1.331
30 1000 10 32MB off 0 0 0 s_2 2 1.303
30 1000 10 32MB off 0 0 0 s_2 3 1.394
30 1000 10 32MB off 0 0 0 s_2 4 1.276
30 1000 10 32MB off 0 0 0 s_2 5 1.324
31 1000 10 32MB off 0 0 0 s_3 1 1.357
31 1000 10 32MB off 0 0 0 s_3 2 1.382
31 1000 10 32MB off 0 0 0 s_3 3 1.365
31 1000 10 32MB off 0 0 0 s_3 4 1.374
31 1000 10 32MB off 0 0 0 s_3 5 1.291
32 1000 10 32MB off 0 0 0 s_4 1 1.358
32 1000 10 32MB off 0 0 0 s_4 2 1.335
32 1000 10 32MB off 0 0 0 s_4 3 1.346
32 1000 10 32MB off 0 0 0 s_4 4 1.362
32 1000 10 32MB off 0 0 0 s_4 5 1.310
33 1000 10 64MB on 0 1 0 s_1 1 1.254
33 1000 10 64MB on 0 1 0 s_1 2 1.287
33 1000 10 64MB on 0 1 0 s_1 3 1.278
33 1000 10 64MB on 0 1 0 s_1 4 1.282
33 1000 10 64MB on 0 1 0 s_1 5 1.294
34 1000 10 64MB on 0 1 0 s_2 1 1.360
34 1000 10 64MB on 0 1 0 s_2 2 1.329
34 1000 10 64MB on 0 1 0 s_2 3 1.340
34 1000 10 64MB on 0 1 0 s_2 4 1.316
34 1000 10 64MB on 0 1 0 s_2 5 1.244
35 1000 10 64MB on 0 1 0 s_3 1 1.275
35 1000 10 64MB on 0 1 0 s_3 2 1.281
35 1000 10 64MB on 0 1 0 s_3 3 1.287
35 1000 10 64MB on 0 1 0 s_3 4 1.297
35 1000 10 64MB on 0 1 0 s_3 5 1.320
36 1000 10 64MB on 0 1 0 s_4 1 1.323
36 1000 10 64MB on 0 1 0 s_4 2 1.348
36 1000 10 64MB on 0 1 0 s_4 3 1.313
36 1000 10 64MB on 0 1 0 s_4 4 1.305
36 1000 10 64MB on 0 1 0 s_4 5 1.292
37 1000 10 64MB off 0 0 0 s_1 1 1.414
37 1000 10 64MB off 0 0 0 s_1 2 1.334
37 1000 10 64MB off 0 0 0 s_1 3 1.280
37 1000 10 64MB off 0 0 0 s_1 4 1.298
37 1000 10 64MB off 0 0 0 s_1 5 1.367
38 1000 10 64MB off 0 0 0 s_2 1 1.313
38 1000 10 64MB off 0 0 0 s_2 2 1.314
38 1000 10 64MB off 0 0 0 s_2 3 1.320
38 1000 10 64MB off 0 0 0 s_2 4 1.324
38 1000 10 64MB off 0 0 0 s_2 5 1.326
39 1000 10 64MB off 0 0 0 s_3 1 1.329
39 1000 10 64MB off 0 0 0 s_3 2 1.322
39 1000 10 64MB off 0 0 0 s_3 3 1.311
39 1000 10 64MB off 0 0 0 s_3 4 1.324
39 1000 10 64MB off 0 0 0 s_3 5 1.330
40 1000 10 64MB off 0 0 0 s_4 1 1.362
