id scale ngroups work_mem enable_incrementalsort max_workers incremental partial table run duration
1 1000 10 4MB on 0 0 0 s_1 1 1.665
1 1000 10 4MB on 0 0 0 s_1 2 1.517
1 1000 10 4MB on 0 0 0 s_1 3 1.521
1 1000 10 4MB on 0 0 0 s_1 4 1.493
1 1000 10 4MB on 0 0 0 s_1 5 1.530
2 1000 10 4MB on 0 0 0 s_2 1 1.670
2 1000 10 4MB on 0 0 0 s_2 2 1.545
2 1000 10 4MB on 0 0 0 s_2 3 1.613
2 1000 10 4MB on 0 0 0 s_2 4 1.563
2 1000 10 4MB on 0 0 0 s_2 5 1.518
3 1000 10 4MB on 0 0 0 s_3 1 1.545
3 1000 10 4MB on 0 0 0 s_3 2 1.513
3 1000 10 4MB on 0 0 0 s_3 3 1.622
3 1000 10 4MB on 0 0 0 s_3 4 1.568
3 1000 10 4MB on 0 0 0 s_3 5 1.562
4 1000 10 4MB on 0 0 0 s_4 1 1.569
4 1000 10 4MB on 0 0 0 s_4 2 1.607
4 1000 10 4MB on 0 0 0 s_4 3 1.527
4 1000 10 4MB on 0 0 0 s_4 4 1.500
4 1000 10 4MB on 0 0 0 s_4 5 1.621
5 1000 10 4MB off 0 0 0 s_1 1 1.449
5 1000 10 4MB off 0 0 0 s_1 2 1.470
5 1000 10 4MB off 0 0 0 s_1 3 1.445
5 1000 10 4MB off 0 0 0 s_1 4 1.502
5 1000 10 4MB off 0 0 0 s_1 5 1.499
6 1000 10 4MB off 0 0 0 s_2 1 1.558
6 1000 10 4MB off 0 0 0 s_2 2 1.547
6 1000 10 4MB off 0 0 0 s_2 3 1.600
6 1000 10 4MB off 0 0 0 s_2 4 1.511
6 1000 10 4MB off 0 0 0 s_2 5 1.531
7 1000 10 4MB off 0 0 0 s_3 1 1.653
7 1000 10 4MB off 0 0 0 s_3 2 1.526
7 1000 10 4MB off 0 0 0 s_3 3 1.540
7 1000 10 4MB off 0 0 0 s_3 4 1.601
7 1000 10 4MB off 0 0 0 s_3 5 1.599
8 1000 10 4MB off 0 0 0 s_4 1 1.528
8 1000 10 4MB off 0 0 0 s_4 2 1.500
8 1000 10 4MB off 0 0 0 s_4 3 1.599
8 1000 10 4MB off 0 0 0 s_4 4 1.498
8 1000 10 4MB off 0 0 0 s_4 5 1.511
9 1000 10 8MB on 0 0 0 s_1 1 1.566
9 1000 10 8MB on 0 0 0 s_1 2 1.523
9 1000 10 8MB on 0 0 0 s_1 3 1.483
9 1000 10 8MB on 0 0 0 s_1 4 1.478
9 1000 10 8MB on 0 0 0 s_1 5 1.476
10 1000 10 8MB on 0 0 0 s_2 1 1.600
10 1000 10 8MB on 0 0 0 s_2 2 1.559
10 1000 10 8MB on 0 0 0 s_2 3 1.522
10 1000 10 8MB on 0 0 0 s_2 4 1.581
10 1000 10 8MB on 0 0 0 s_2 5 1.546
11 1000 10 8MB on 0 0 0 s_3 1 1.634
11 1000 10 8MB on 0 0 0 s_3 2 1.558
11 1000 10 8MB on 0 0 0 s_3 3 1.528
11 1000 10 8MB on 0 0 0 s_3 4 1.616
11 1000 10 8MB on 0 0 0 s_3 5 1.645
12 1000 10 8MB on 0 0 0 s_4 1 1.555
12 1000 10 8MB on 0 0 0 s_4 2 1.567
12 1000 10 8MB on 0 0 0 s_4 3 1.524
12 1000 10 8MB on 0 0 0 s_4 4 1.563
12 1000 10 8MB on 0 0 0 s_4 5 1.538
13 1000 10 8MB off 0 0 0 s_1 1 1.564
13 1000 10 8MB off 0 0 0 s_1 2 1.475
13 1000 10 8MB off 0 0 0 s_1 3 1.462
13 1000 10 8MB off 0 0 0 s_1 4 1.465
13 1000 10 8MB off 0 0 0 s_1 5 1.454
14 1000 10 8MB off 0 0 0 s_2 1 1.606
14 1000 10 8MB off 0 0 0 s_2 2 1.531
14 1000 10 8MB off 0 0 0 s_2 3 1.520
14 1000 10 8MB off 0 0 0 s_2 4 1.647
14 1000 10 8MB off 0 0 0 s_2 5 1.555
15 1000 10 8MB off 0 0 0 s_3 1 1.538
15 1000 10 8MB off 0 0 0 s_3 2 1.644
15 1000 10 8MB off 0 0 0 s_3 3 1.508
15 1000 10 8MB off 0 0 0 s_3 4 1.558
15 1000 10 8MB off 0 0 0 s_3 5 1.558
16 1000 10 8MB off 0 0 0 s_4 1 1.613
16 1000 10 8MB off 0 0 0 s_4 2 1.567
16 1000 10 8MB off 0 0 0 s_4 3 1.569
16 1000 10 8MB off 0 0 0 s_4 4 1.532
16 1000 10 8MB off 0 0 0 s_4 5 1.491
17 1000 10 16MB on 0 0 0 s_1 1 1.484
17 1000 10 16MB on 0 0 0 s_1 2 1.554
17 1000 10 16MB on 0 0 0 s_1 3 1.515
17 1000 10 16MB on 0 0 0 s_1 4 1.490
17 1000 10 16MB on 0 0 0 s_1 5 1.554
18 1000 10 16MB on 0 0 0 s_2 1 1.607
18 1000 10 16MB on 0 0 0 s_2 2 1.552
18 1000 10 16MB on 0 0 0 s_2 3 1.523
18 1000 10 16MB on 0 0 0 s_2 4 1.639
18 1000 10 16MB on 0 0 0 s_2 5 1.557
19 1000 10 16MB on 0 0 0 s_3 1 1.544
19 1000 10 16MB on 0 0 0 s_3 2 1.650
19 1000 10 16MB on 0 0 0 s_3 3 1.540
19 1000 10 16MB on 0 0 0 s_3 4 1.559
19 1000 10 16MB on 0 0 0 s_3 5 1.544
20 1000 10 16MB on 0 0 0 s_4 1 1.510
20 1000 10 16MB on 0 0 0 s_4 2 1.509
20 1000 10 16MB on 0 0 0 s_4 3 1.537
20 1000 10 16MB on 0 0 0 s_4 4 1.629
20 1000 10 16MB on 0 0 0 s_4 5 1.548
21 1000 10 16MB off 0 0 0 s_1 1 1.507
21 1000 10 16MB off 0 0 0 s_1 2 1.466
21 1000 10 16MB off 0 0 0 s_1 3 1.465
21 1000 10 16MB off 0 0 0 s_1 4 1.427
21 1000 10 16MB off 0 0 0 s_1 5 1.456
22 1000 10 16MB off 0 0 0 s_2 1 1.578
22 1000 10 16MB off 0 0 0 s_2 2 1.521
22 1000 10 16MB off 0 0 0 s_2 3 1.533
22 1000 10 16MB off 0 0 0 s_2 4 1.553
22 1000 10 16MB off 0 0 0 s_2 5 1.541
23 1000 10 16MB off 0 0 0 s_3 1 1.610
23 1000 10 16MB off 0 0 0 s_3 2 1.498
23 1000 10 16MB off 0 0 0 s_3 3 1.482
23 1000 10 16MB off 0 0 0 s_3 4 1.516
23 1000 10 16MB off 0 0 0 s_3 5 1.632
24 1000 10 16MB off 0 0 0 s_4 1 1.551
24 1000 10 16MB off 0 0 0 s_4 2 1.552
24 1000 10 16MB off 0 0 0 s_4 3 1.499
24 1000 10 16MB off 0 0 0 s_4 4 1.518
24 1000 10 16MB off 0 0 0 s_4 5 1.528
25 1000 10 32MB on 0 0 0 s_1 1 1.476
25 1000 10 32MB on 0 0 0 s_1 2 1.453
25 1000 10 32MB on 0 0 0 s_1 3 1.511
25 1000 10 32MB on 0 0 0 s_1 4 1.519
25 1000 10 32MB on 0 0 0 s_1 5 1.492
26 1000 10 32MB on 0 0 0 s_2 1 1.552
26 1000 10 32MB on 0 0 0 s_2 2 1.600
26 1000 10 32MB on 0 0 0 s_2 3 1.537
26 1000 10 32MB on 0 0 0 s_2 4 1.551
26 1000 10 32MB on 0 0 0 s_2 5 1.566
27 1000 10 32MB on 0 0 0 s_3 1 1.619
27 1000 10 32MB on 0 0 0 s_3 2 1.531
27 1000 10 32MB on 0 0 0 s_3 3 1.636
27 1000 10 32MB on 0 0 0 s_3 4 1.554
27 1000 10 32MB on 0 0 0 s_3 5 1.565
28 1000 10 32MB on 0 0 0 s_4 1 1.600
28 1000 10 32MB on 0 0 0 s_4 2 1.577
28 1000 10 32MB on 0 0 0 s_4 3 1.544
28 1000 10 32MB on 0 0 0 s_4 4 1.535
28 1000 10 32MB on 0 0 0 s_4 5 1.564
29 1000 10 32MB off 0 0 0 s_1 1 1.538
29 1000 10 32MB off 0 0 0 s_1 2 1.481
29 1000 10 32MB off 0 0 0 s_1 3 1.443
29 1000 10 32MB off 0 0 0 s_1 4 1.485
29 1000 10 32MB off 0 0 0 s_1 5 1.518
30 1000 10 32MB off 0 0 0 s_2 1 1.532
30 1000 10 32MB off 0 0 0 s_2 2 1.528
30 1000 10 32MB off 0 0 0 s_2 3 1.617
30 1000 10 32MB off 0 0 0 s_2 4 1.514
30 1000 10 32MB off 0 0 0 s_2 5 1.533
31 1000 10 32MB off 0 0 0 s_3 1 1.667
31 1000 10 32MB off 0 0 0 s_3 2 1.550
31 1000 10 32MB off 0 0 0 s_3 3 1.497
31 1000 10 32MB off 0 0 0 s_3 4 1.489
31 1000 10 32MB off 0 0 0 s_3 5 1.488
32 1000 10 32MB off 0 0 0 s_4 1 1.570
32 1000 10 32MB off 0 0 0 s_4 2 1.508
32 1000 10 32MB off 0 0 0 s_4 3 1.534
32 1000 10 32MB off 0 0 0 s_4 4 1.478
32 1000 10 32MB off 0 0 0 s_4 5 1.599
33 1000 10 64MB on 0 0 0 s_1 1 1.572
33 1000 10 64MB on 0 0 0 s_1 2 1.479
33 1000 10 64MB on 0 0 0 s_1 3 1.487
33 1000 10 64MB on 0 0 0 s_1 4 1.487
33 1000 10 64MB on 0 0 0 s_1 5 1.468
34 1000 10 64MB on 0 0 0 s_2 1 1.617
34 1000 10 64MB on 0 0 0 s_2 2 1.537
34 1000 10 64MB on 0 0 0 s_2 3 1.540
34 1000 10 64MB on 0 0 0 s_2 4 1.624
34 1000 10 64MB on 0 0 0 s_2 5 1.601
35 1000 10 64MB on 0 0 0 s_3 1 1.572
35 1000 10 64MB on 0 0 0 s_3 2 1.617
35 1000 10 64MB on 0 0 0 s_3 3 1.595
35 1000 10 64MB on 0 0 0 s_3 4 1.568
35 1000 10 64MB on 0 0 0 s_3 5 1.622
36 1000 10 64MB on 0 0 0 s_4 1 1.585
36 1000 10 64MB on 0 0 0 s_4 2 1.575
36 1000 10 64MB on 0 0 0 s_4 3 1.562
36 1000 10 64MB on 0 0 0 s_4 4 1.580
36 1000 10 64MB on 0 0 0 s_4 5 1.535
37 1000 10 64MB off 0 0 0 s_1 1 1.502
37 1000 10 64MB off 0 0 0 s_1 2 1.468
37 1000 10 64MB off 0 0 0 s_1 3 1.479
37 1000 10 64MB off 0 0 0 s_1 4 1.456
37 1000 10 64MB off 0 0 0 s_1 5 1.450
38 1000 10 64MB off 0 0 0 s_2 1 1.618
38 1000 10 64MB off 0 0 0 s_2 2 1.579
38 1000 10 64MB off 0 0 0 s_2 3 1.490
38 1000 10 64MB off 0 0 0 s_2 4 1.518
38 1000 10 64MB off 0 0 0 s_2 5 1.590
39 1000 10 64MB off 0 0 0 s_3 1 1.555
39 1000 10 64MB off 0 0 0 s_3 2 1.536
39 1000 10 64MB off 0 0 0 s_3 3 1.595
39 1000 10 64MB off 0 0 0 s_3 4 1.530
39 1000 10 64MB off 0 0 0 s_3 5 1.558
40 1000 10 64MB off 0 0 0 s_4 1 1.556
40 1000 10 64MB off 0 0 0 s_4 2 1.539
40 1000 10 64MB off 0 0 0 s_4 3 1.487
40 1000 10 64MB off 0 0 0 s_4 4 1.544
40 1000 10 64MB off 0 0 0 s_4 5 1.527
41 1000 10 128MB on 0 0 0 s_1 1 1.499
41 1000 10 128MB on 0 0 0 s_1 2 1.450
41 1000 10 128MB on 0 0 0 s_1 3 1.478
41 1000 10 128MB on 0 0 0 s_1 4 1.530
41 1000 10 128MB on 0 0 0 s_1 5 1.474
42 1000 10 128MB on 0 0 0 s_2 1 1.558
42 1000 10 128MB on 0 0 0 s_2 2 1.622
42 1000 10 128MB on 0 0 0 s_2 3 1.606
42 1000 10 128MB on 0 0 0 s_2 4 1.562
42 1000 10 128MB on 0 0 0 s_2 5 1.542
43 1000 10 128MB on 0 0 0 s_3 1 1.602
43 1000 10 128MB on 0 0 0 s_3 2 1.546
43 1000 10 128MB on 0 0 0 s_3 3 1.563
43 1000 10 128MB on 0 0 0 s_3 4 1.551
43 1000 10 128MB on 0 0 0 s_3 5 1.621
44 1000 10 128MB on 0 0 0 s_4 1 1.518
44 1000 10 128MB on 0 0 0 s_4 2 1.531
44 1000 10 128MB on 0 0 0 s_4 3 1.570
44 1000 10 128MB on 0 0 0 s_4 4 1.533
44 1000 10 128MB on 0 0 0 s_4 5 1.509
45 1000 10 128MB off 0 0 0 s_1 1 1.577
45 1000 10 128MB off 0 0 0 s_1 2 1.519
45 1000 10 128MB off 0 0 0 s_1 3 1.487
45 1000 10 128MB off 0 0 0 s_1 4 1.471
45 1000 10 128MB off 0 0 0 s_1 5 1.571
46 1000 10 128MB off 0 0 0 s_2 1 1.601
46 1000 10 128MB off 0 0 0 s_2 2 1.493
46 1000 10 128MB off 0 0 0 s_2 3 1.476
46 1000 10 128MB off 0 0 0 s_2 4 1.536
46 1000 10 128MB off 0 0 0 s_2 5 1.630
47 1000 10 128MB off 0 0 0 s_3 1 1.531
47 1000 10 128MB off 0 0 0 s_3 2 1.543
47 1000 10 128MB off 0 0 0 s_3 3 1.566
47 1000 10 128MB off 0 0 0 s_3 4 1.524
47 1000 10 128MB off 0 0 0 s_3 5 1.528
48 1000 10 128MB off 0 0 0 s_4 1 1.582
48 1000 10 128MB off 0 0 0 s_4 2 1.505
48 1000 10 128MB off 0 0 0 s_4 3 1.543
48 1000 10 128MB off 0 0 0 s_4 4 1.510
48 1000 10 128MB off 0 0 0 s_4 5 1.565
