id scale ngroups work_mem enable_incrementalsort max_workers incremental partial table run duration
1 100000 10 4MB on 0 1 0 s_1 1 19.285
1 100000 10 4MB on 0 1 0 s_1 2 19.191
1 100000 10 4MB on 0 1 0 s_1 3 19.205
1 100000 10 4MB on 0 1 0 s_1 4 19.243
1 100000 10 4MB on 0 1 0 s_1 5 19.273
2 100000 10 4MB on 0 1 0 s_2 1 19.815
2 100000 10 4MB on 0 1 0 s_2 2 19.790
2 100000 10 4MB on 0 1 0 s_2 3 19.706
2 100000 10 4MB on 0 1 0 s_2 4 19.736
2 100000 10 4MB on 0 1 0 s_2 5 19.809
3 100000 10 4MB on 0 1 0 s_3 1 20.626
3 100000 10 4MB on 0 1 0 s_3 2 20.534
3 100000 10 4MB on 0 1 0 s_3 3 20.623
3 100000 10 4MB on 0 1 0 s_3 4 20.577
3 100000 10 4MB on 0 1 0 s_3 5 20.573
4 100000 10 4MB on 0 1 0 s_4 1 21.390
4 100000 10 4MB on 0 1 0 s_4 2 21.391
4 100000 10 4MB on 0 1 0 s_4 3 21.379
4 100000 10 4MB on 0 1 0 s_4 4 21.479
4 100000 10 4MB on 0 1 0 s_4 5 21.329
5 100000 10 4MB off 0 0 0 s_1 1 29.161
5 100000 10 4MB off 0 0 0 s_1 2 29.191
5 100000 10 4MB off 0 0 0 s_1 3 29.182
5 100000 10 4MB off 0 0 0 s_1 4 29.156
5 100000 10 4MB off 0 0 0 s_1 5 29.242
6 100000 10 4MB off 0 0 0 s_2 1 30.407
6 100000 10 4MB off 0 0 0 s_2 2 30.358
6 100000 10 4MB off 0 0 0 s_2 3 30.390
6 100000 10 4MB off 0 0 0 s_2 4 30.314
6 100000 10 4MB off 0 0 0 s_2 5 30.430
7 100000 10 4MB off 0 0 0 s_3 1 31.080
7 100000 10 4MB off 0 0 0 s_3 2 31.145
7 100000 10 4MB off 0 0 0 s_3 3 31.107
7 100000 10 4MB off 0 0 0 s_3 4 31.146
7 100000 10 4MB off 0 0 0 s_3 5 31.081
8 100000 10 4MB off 0 0 0 s_4 1 31.987
8 100000 10 4MB off 0 0 0 s_4 2 32.022
8 100000 10 4MB off 0 0 0 s_4 3 31.910
8 100000 10 4MB off 0 0 0 s_4 4 31.930
8 100000 10 4MB off 0 0 0 s_4 5 31.924
9 100000 10 8MB on 0 1 0 s_1 1 20.858
9 100000 10 8MB on 0 1 0 s_1 2 20.845
9 100000 10 8MB on 0 1 0 s_1 3 20.929
9 100000 10 8MB on 0 1 0 s_1 4 20.892
9 100000 10 8MB on 0 1 0 s_1 5 20.840
10 100000 10 8MB on 0 1 0 s_2 1 21.683
10 100000 10 8MB on 0 1 0 s_2 2 21.548
10 100000 10 8MB on 0 1 0 s_2 3 21.609
10 100000 10 8MB on 0 1 0 s_2 4 21.566
10 100000 10 8MB on 0 1 0 s_2 5 21.541
11 100000 10 8MB on 0 1 0 s_3 1 22.372
11 100000 10 8MB on 0 1 0 s_3 2 22.299
11 100000 10 8MB on 0 1 0 s_3 3 22.367
11 100000 10 8MB on 0 1 0 s_3 4 22.306
11 100000 10 8MB on 0 1 0 s_3 5 22.262
12 100000 10 8MB on 0 1 0 s_4 1 23.119
12 100000 10 8MB on 0 1 0 s_4 2 23.122
12 100000 10 8MB on 0 1 0 s_4 3 23.126
12 100000 10 8MB on 0 1 0 s_4 4 23.130
