id scale ngroups work_mem enable_incrementalsort max_workers incremental partial ios table run duration
1 100000 10 4MB on 0 1 0 1 s_1 1 30.788
1 100000 10 4MB on 0 1 0 1 s_1 2 30.741
1 100000 10 4MB on 0 1 0 1 s_1 3 30.736
1 100000 10 4MB on 0 1 0 1 s_1 4 30.690
1 100000 10 4MB on 0 1 0 1 s_1 5 30.706
2 100000 10 4MB on 0 1 0 1 s_2 1 31.623
2 100000 10 4MB on 0 1 0 1 s_2 2 31.617
2 100000 10 4MB on 0 1 0 1 s_2 3 31.665
2 100000 10 4MB on 0 1 0 1 s_2 4 31.646
2 100000 10 4MB on 0 1 0 1 s_2 5 31.649
3 100000 10 4MB on 0 1 0 1 s_3 1 35.591
3 100000 10 4MB on 0 1 0 1 s_3 2 35.583
3 100000 10 4MB on 0 1 0 1 s_3 3 35.628
3 100000 10 4MB on 0 1 0 1 s_3 4 35.542
3 100000 10 4MB on 0 1 0 1 s_3 5 35.588
4 100000 10 4MB off 0 0 0 0 s_1 1 31.913
4 100000 10 4MB off 0 0 0 0 s_1 2 32.002
4 100000 10 4MB off 0 0 0 0 s_1 3 31.885
4 100000 10 4MB off 0 0 0 0 s_1 4 31.949
4 100000 10 4MB off 0 0 0 0 s_1 5 31.919
5 100000 10 4MB off 0 0 0 0 s_2 1 38.777
5 100000 10 4MB off 0 0 0 0 s_2 2 38.742
5 100000 10 4MB off 0 0 0 0 s_2 3 38.739
5 100000 10 4MB off 0 0 0 0 s_2 4 38.857
5 100000 10 4MB off 0 0 0 0 s_2 5 38.788
6 100000 10 4MB off 0 0 0 0 s_3 1 50.441
6 100000 10 4MB off 0 0 0 0 s_3 2 50.352
6 100000 10 4MB off 0 0 0 0 s_3 3 50.335
6 100000 10 4MB off 0 0 0 0 s_3 4 50.393
6 100000 10 4MB off 0 0 0 0 s_3 5 50.429
7 100000 10 8MB on 0 0 0 0 s_1 1 34.993
7 100000 10 8MB on 0 0 0 0 s_1 2 35.007
7 100000 10 8MB on 0 0 0 0 s_1 3 34.880
7 100000 10 8MB on 0 0 0 0 s_1 4 34.959
7 100000 10 8MB on 0 0 0 0 s_1 5 34.962
8 100000 10 8MB on 0 1 0 1 s_2 1 31.645
8 100000 10 8MB on 0 1 0 1 s_2 2 31.623
8 100000 10 8MB on 0 1 0 1 s_2 3 31.622
8 100000 10 8MB on 0 1 0 1 s_2 4 31.644
8 100000 10 8MB on 0 1 0 1 s_2 5 31.598
9 100000 10 8MB on 0 1 0 1 s_3 1 35.628
9 100000 10 8MB on 0 1 0 1 s_3 2 35.552
9 100000 10 8MB on 0 1 0 1 s_3 3 35.623
9 100000 10 8MB on 0 1 0 1 s_3 4 35.566
9 100000 10 8MB on 0 1 0 1 s_3 5 35.604
10 100000 10 8MB off 0 0 0 0 s_1 1 35.122
10 100000 10 8MB off 0 0 0 0 s_1 2 35.133
10 100000 10 8MB off 0 0 0 0 s_1 3 35.092
10 100000 10 8MB off 0 0 0 0 s_1 4 35.140
10 100000 10 8MB off 0 0 0 0 s_1 5 35.176
11 100000 10 8MB off 0 0 0 0 s_2 1 42.573
11 100000 10 8MB off 0 0 0 0 s_2 2 42.589
11 100000 10 8MB off 0 0 0 0 s_2 3 42.697
11 100000 10 8MB off 0 0 0 0 s_2 4 42.679
11 100000 10 8MB off 0 0 0 0 s_2 5 42.547
12 100000 10 8MB off 0 0 0 0 s_3 1 53.430
12 100000 10 8MB off 0 0 0 0 s_3 2 53.612
12 100000 10 8MB off 0 0 0 0 s_3 3 53.465
12 100000 10 8MB off 0 0 0 0 s_3 4 53.548
12 100000 10 8MB off 0 0 0 0 s_3 5 53.365
13 100000 10 16MB on 0 0 0 0 s_1 1 26.613
13 100000 10 16MB on 0 0 0 0 s_1 2 26.641
13 100000 10 16MB on 0 0 0 0 s_1 3 26.605
13 100000 10 16MB on 0 0 0 0 s_1 4 26.593
13 100000 10 16MB on 0 0 0 0 s_1 5 26.676
14 100000 10 16MB on 0 1 0 1 s_2 1 31.656
14 100000 10 16MB on 0 1 0 1 s_2 2 31.674
14 100000 10 16MB on 0 1 0 1 s_2 3 31.646
14 100000 10 16MB on 0 1 0 1 s_2 4 31.626
14 100000 10 16MB on 0 1 0 1 s_2 5 31.663
15 100000 10 16MB on 0 1 0 1 s_3 1 35.581
15 100000 10 16MB on 0 1 0 1 s_3 2 35.556
15 100000 10 16MB on 0 1 0 1 s_3 3 35.630
15 100000 10 16MB on 0 1 0 1 s_3 4 35.581
15 100000 10 16MB on 0 1 0 1 s_3 5 35.599
16 100000 10 16MB off 0 0 0 0 s_1 1 26.438
16 100000 10 16MB off 0 0 0 0 s_1 2 26.492
16 100000 10 16MB off 0 0 0 0 s_1 3 26.457
16 100000 10 16MB off 0 0 0 0 s_1 4 26.407
16 100000 10 16MB off 0 0 0 0 s_1 5 26.331
17 100000 10 16MB off 0 0 0 0 s_2 1 33.557
17 100000 10 16MB off 0 0 0 0 s_2 2 33.445
17 100000 10 16MB off 0 0 0 0 s_2 3 33.422
17 100000 10 16MB off 0 0 0 0 s_2 4 33.333
17 100000 10 16MB off 0 0 0 0 s_2 5 33.529
18 100000 10 16MB off 0 0 0 0 s_3 1 44.269
18 100000 10 16MB off 0 0 0 0 s_3 2 44.437
18 100000 10 16MB off 0 0 0 0 s_3 3 44.327
18 100000 10 16MB off 0 0 0 0 s_3 4 44.170
18 100000 10 16MB off 0 0 0 0 s_3 5 44.226
19 100000 10 32MB on 0 0 0 0 s_1 1 26.405
19 100000 10 32MB on 0 0 0 0 s_1 2 26.339
19 100000 10 32MB on 0 0 0 0 s_1 3 26.514
19 100000 10 32MB on 0 0 0 0 s_1 4 26.456
19 100000 10 32MB on 0 0 0 0 s_1 5 26.433
20 100000 10 32MB on 0 1 0 1 s_2 1 31.599
20 100000 10 32MB on 0 1 0 1 s_2 2 31.539
20 100000 10 32MB on 0 1 0 1 s_2 3 31.542
20 100000 10 32MB on 0 1 0 1 s_2 4 31.559
20 100000 10 32MB on 0 1 0 1 s_2 5 31.546
21 100000 10 32MB on 0 1 0 1 s_3 1 35.685
21 100000 10 32MB on 0 1 0 1 s_3 2 35.754
21 100000 10 32MB on 0 1 0 1 s_3 3 35.760
21 100000 10 32MB on 0 1 0 1 s_3 4 35.775
21 100000 10 32MB on 0 1 0 1 s_3 5 35.741
22 100000 10 32MB off 0 0 0 0 s_1 1 26.381
22 100000 10 32MB off 0 0 0 0 s_1 2 26.456
22 100000 10 32MB off 0 0 0 0 s_1 3 26.360
22 100000 10 32MB off 0 0 0 0 s_1 4 26.445
22 100000 10 32MB off 0 0 0 0 s_1 5 26.555
23 100000 10 32MB off 0 0 0 0 s_2 1 33.397
23 100000 10 32MB off 0 0 0 0 s_2 2 33.474
23 100000 10 32MB off 0 0 0 0 s_2 3 33.462
23 100000 10 32MB off 0 0 0 0 s_2 4 33.418
23 100000 10 32MB off 0 0 0 0 s_2 5 33.455
24 100000 10 32MB off 0 0 0 0 s_3 1 44.303
24 100000 10 32MB off 0 0 0 0 s_3 2 44.262
24 100000 10 32MB off 0 0 0 0 s_3 3 44.271
24 100000 10 32MB off 0 0 0 0 s_3 4 44.279
24 100000 10 32MB off 0 0 0 0 s_3 5 44.258
25 100000 10 64MB on 0 0 0 0 s_1 1 26.617
25 100000 10 64MB on 0 0 0 0 s_1 2 26.717
25 100000 10 64MB on 0 0 0 0 s_1 3 26.662
25 100000 10 64MB on 0 0 0 0 s_1 4 26.619
25 100000 10 64MB on 0 0 0 0 s_1 5 26.588
26 100000 10 64MB on 0 1 0 1 s_2 1 31.628
26 100000 10 64MB on 0 1 0 1 s_2 2 31.615
26 100000 10 64MB on 0 1 0 1 s_2 3 31.628
26 100000 10 64MB on 0 1 0 1 s_2 4 31.602
26 100000 10 64MB on 0 1 0 1 s_2 5 31.626
27 100000 10 64MB on 0 1 0 1 s_3 1 35.614
27 100000 10 64MB on 0 1 0 1 s_3 2 35.620
27 100000 10 64MB on 0 1 0 1 s_3 3 35.559
27 100000 10 64MB on 0 1 0 1 s_3 4 35.636
27 100000 10 64MB on 0 1 0 1 s_3 5 35.554
28 100000 10 64MB off 0 0 0 0 s_1 1 26.518
28 100000 10 64MB off 0 0 0 0 s_1 2 26.411
28 100000 10 64MB off 0 0 0 0 s_1 3 26.401
28 100000 10 64MB off 0 0 0 0 s_1 4 26.509
28 100000 10 64MB off 0 0 0 0 s_1 5 26.492
29 100000 10 64MB off 0 0 0 0 s_2 1 33.446
29 100000 10 64MB off 0 0 0 0 s_2 2 33.440
29 100000 10 64MB off 0 0 0 0 s_2 3 33.519
29 100000 10 64MB off 0 0 0 0 s_2 4 33.436
29 100000 10 64MB off 0 0 0 0 s_2 5 33.459
30 100000 10 64MB off 0 0 0 0 s_3 1 44.310
30 100000 10 64MB off 0 0 0 0 s_3 2 44.201
30 100000 10 64MB off 0 0 0 0 s_3 3 44.197
30 100000 10 64MB off 0 0 0 0 s_3 4 44.220
30 100000 10 64MB off 0 0 0 0 s_3 5 44.420
31 100000 10 128MB on 0 0 0 0 s_1 1 26.718
31 100000 10 128MB on 0 0 0 0 s_1 2 26.691
31 100000 10 128MB on 0 0 0 0 s_1 3 26.654
31 100000 10 128MB on 0 0 0 0 s_1 4 26.637
31 100000 10 128MB on 0 0 0 0 s_1 5 26.701
32 100000 10 128MB on 0 1 0 1 s_2 1 31.702
32 100000 10 128MB on 0 1 0 1 s_2 2 31.630
32 100000 10 128MB on 0 1 0 1 s_2 3 31.648
32 100000 10 128MB on 0 1 0 1 s_2 4 31.654
32 100000 10 128MB on 0 1 0 1 s_2 5 31.670
33 100000 10 128MB on 0 1 0 1 s_3 1 35.623
33 100000 10 128MB on 0 1 0 1 s_3 2 35.560
33 100000 10 128MB on 0 1 0 1 s_3 3 35.562
33 100000 10 128MB on 0 1 0 1 s_3 4 35.618
33 100000 10 128MB on 0 1 0 1 s_3 5 35.590
34 100000 10 128MB off 0 0 0 0 s_1 1 26.512
34 100000 10 128MB off 0 0 0 0 s_1 2 26.426
34 100000 10 128MB off 0 0 0 0 s_1 3 26.507
34 100000 10 128MB off 0 0 0 0 s_1 4 26.464
34 100000 10 128MB off 0 0 0 0 s_1 5 26.426
35 100000 10 128MB off 0 0 0 0 s_2 1 33.417
35 100000 10 128MB off 0 0 0 0 s_2 2 33.486
35 100000 10 128MB off 0 0 0 0 s_2 3 33.470
35 100000 10 128MB off 0 0 0 0 s_2 4 33.455
35 100000 10 128MB off 0 0 0 0 s_2 5 33.419
36 100000 10 128MB off 0 0 0 0 s_3 1 44.295
36 100000 10 128MB off 0 0 0 0 s_3 2 44.280
36 100000 10 128MB off 0 0 0 0 s_3 3 44.277
36 100000 10 128MB off 0 0 0 0 s_3 4 44.204
36 100000 10 128MB off 0 0 0 0 s_3 5 44.246
37 100000 10 256MB on 0 0 0 0 s_1 1 26.768
37 100000 10 256MB on 0 0 0 0 s_1 2 26.718
37 100000 10 256MB on 0 0 0 0 s_1 3 26.631
37 100000 10 256MB on 0 0 0 0 s_1 4 26.554
37 100000 10 256MB on 0 0 0 0 s_1 5 26.884
38 100000 10 256MB on 0 1 0 1 s_2 1 31.696
38 100000 10 256MB on 0 1 0 1 s_2 2 31.601
38 100000 10 256MB on 0 1 0 1 s_2 3 31.685
38 100000 10 256MB on 0 1 0 1 s_2 4 31.682
38 100000 10 256MB on 0 1 0 1 s_2 5 31.576
