id scale ngroups work_mem enable_incrementalsort max_workers incremental partial table run duration
1 100000 10 4MB on 0 1 0 s_1 1 2.805
1 100000 10 4MB on 0 1 0 s_1 2 2.674
1 100000 10 4MB on 0 1 0 s_1 3 2.624
1 100000 10 4MB on 0 1 0 s_1 4 2.686
1 100000 10 4MB on 0 1 0 s_1 5 2.706
2 100000 10 4MB on 0 1 0 s_2 1 1.731
2 100000 10 4MB on 0 1 0 s_2 2 1.676
2 100000 10 4MB on 0 1 0 s_2 3 1.768
2 100000 10 4MB on 0 1 0 s_2 4 1.668
2 100000 10 4MB on 0 1 0 s_2 5 1.736
3 100000 10 4MB on 0 1 0 s_3 1 1.712
3 100000 10 4MB on 0 1 0 s_3 2 1.620
3 100000 10 4MB on 0 1 0 s_3 3 1.618
3 100000 10 4MB on 0 1 0 s_3 4 1.692
3 100000 10 4MB on 0 1 0 s_3 5 1.575
4 100000 10 4MB on 0 1 0 s_4 1 1.687
4 100000 10 4MB on 0 1 0 s_4 2 1.673
4 100000 10 4MB on 0 1 0 s_4 3 1.624
4 100000 10 4MB on 0 1 0 s_4 4 1.638
4 100000 10 4MB on 0 1 0 s_4 5 1.625
5 100000 10 4MB off 0 0 0 s_1 1 10.411
5 100000 10 4MB off 0 0 0 s_1 2 10.329
5 100000 10 4MB off 0 0 0 s_1 3 10.297
5 100000 10 4MB off 0 0 0 s_1 4 10.359
5 100000 10 4MB off 0 0 0 s_1 5 10.342
6 100000 10 4MB off 0 0 0 s_2 1 10.233
6 100000 10 4MB off 0 0 0 s_2 2 10.234
6 100000 10 4MB off 0 0 0 s_2 3 10.263
6 100000 10 4MB off 0 0 0 s_2 4 10.252
6 100000 10 4MB off 0 0 0 s_2 5 10.305
7 100000 10 4MB off 0 0 0 s_3 1 10.309
7 100000 10 4MB off 0 0 0 s_3 2 10.282
7 100000 10 4MB off 0 0 0 s_3 3 10.274
7 100000 10 4MB off 0 0 0 s_3 4 10.326
7 100000 10 4MB off 0 0 0 s_3 5 10.455
8 100000 10 4MB off 0 0 0 s_4 1 10.399
8 100000 10 4MB off 0 0 0 s_4 2 10.425
8 100000 10 4MB off 0 0 0 s_4 3 10.387
8 100000 10 4MB off 0 0 0 s_4 4 10.414
8 100000 10 4MB off 0 0 0 s_4 5 10.437
9 100000 10 8MB on 0 1 0 s_1 1 2.791
9 100000 10 8MB on 0 1 0 s_1 2 2.674
9 100000 10 8MB on 0 1 0 s_1 3 2.755
9 100000 10 8MB on 0 1 0 s_1 4 2.672
9 100000 10 8MB on 0 1 0 s_1 5 2.731
10 100000 10 8MB on 0 1 0 s_2 1 1.724
10 100000 10 8MB on 0 1 0 s_2 2 1.662
10 100000 10 8MB on 0 1 0 s_2 3 1.726
10 100000 10 8MB on 0 1 0 s_2 4 1.675
10 100000 10 8MB on 0 1 0 s_2 5 1.743
11 100000 10 8MB on 0 1 0 s_3 1 1.682
11 100000 10 8MB on 0 1 0 s_3 2 1.621
11 100000 10 8MB on 0 1 0 s_3 3 1.725
11 100000 10 8MB on 0 1 0 s_3 4 1.609
11 100000 10 8MB on 0 1 0 s_3 5 1.644
12 100000 10 8MB on 0 1 0 s_4 1 1.672
12 100000 10 8MB on 0 1 0 s_4 2 1.702
12 100000 10 8MB on 0 1 0 s_4 3 1.596
12 100000 10 8MB on 0 1 0 s_4 4 1.585
12 100000 10 8MB on 0 1 0 s_4 5 1.590
13 100000 10 8MB off 0 0 0 s_1 1 10.414
13 100000 10 8MB off 0 0 0 s_1 2 10.353
13 100000 10 8MB off 0 0 0 s_1 3 10.387
13 100000 10 8MB off 0 0 0 s_1 4 10.346
13 100000 10 8MB off 0 0 0 s_1 5 10.322
14 100000 10 8MB off 0 0 0 s_2 1 10.214
14 100000 10 8MB off 0 0 0 s_2 2 10.225
14 100000 10 8MB off 0 0 0 s_2 3 10.277
14 100000 10 8MB off 0 0 0 s_2 4 10.244
14 100000 10 8MB off 0 0 0 s_2 5 10.265
15 100000 10 8MB off 0 0 0 s_3 1 10.266
15 100000 10 8MB off 0 0 0 s_3 2 10.271
15 100000 10 8MB off 0 0 0 s_3 3 10.271
15 100000 10 8MB off 0 0 0 s_3 4 10.271
15 100000 10 8MB off 0 0 0 s_3 5 10.252
16 100000 10 8MB off 0 0 0 s_4 1 10.434
16 100000 10 8MB off 0 0 0 s_4 2 10.392
16 100000 10 8MB off 0 0 0 s_4 3 10.433
16 100000 10 8MB off 0 0 0 s_4 4 10.411
16 100000 10 8MB off 0 0 0 s_4 5 10.379
